basis,match_key,record_ids,count,titles,source_names,review_action
title_source_date,mura-mura in ceremonies and beliefs|wikisource|1904,1308;1309;1310;1311;1416;1417;1418;1419,8,Mura-mura in Ceremonies and Beliefs,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,fairy in australian fairy tales|project gutenberg|1897,1471;1472;1473;1474;2344;2345;2346;2347,8,fairy in Australian fairy tales,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,fairies in australian fairy tales|project gutenberg|1897,1475;1476;1481;1483;2348;2349;2354;2356,8,fairies in Australian fairy tales,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,witch in australian fairy tales|project gutenberg|1897,1477;1485;1489;1490;2362;2363;2377;2378,8,witch in Australian fairy tales,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,spirit in australian fairy tales|project gutenberg|1897,1478;1482;1484;1486;2350;2355;2357;2358,8,spirit in Australian fairy tales,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,giant in australian fairy tales|project gutenberg|1897,1479;1480;1487;1488;2351;2352;2359;2367,8,giant in Australian fairy tales,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,magician in australian fairy tales|project gutenberg|1897,1492;1493;1501;1502;2385;2386;2387;2388,8,magician in Australian fairy tales,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,devil in nuggets in the devil's punch bowl|project gutenberg|1894,1511;1512;1513;1514;2414;2415;2416;2417,8,devil in Nuggets in the Devil's Punch Bowl,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,giant in nuggets in the devil's punch bowl|project gutenberg|1894,1515;1521;1522;1523;2418;2423;2424;2425,8,giant in Nuggets in the Devil's Punch Bowl,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,ghost in below and on top and other stories|project gutenberg australia|1898,2298;2299;2300;2301;2426;2427;2428;2429,8,ghost in Below And On Top and Other Stories,Project Gutenberg Australia,review_exact_duplicate_narrative_unit
title_source_date,ghosts in below and on top and other stories|project gutenberg australia|1898,2302;2303;2304;2305;2430;2431;2433;2437,8,ghosts in Below And On Top and Other Stories,Project Gutenberg Australia,review_exact_duplicate_narrative_unit
title_source_date,spirit in below and on top and other stories|project gutenberg australia|1898,2308;2309;2310;2311;2432;2434;2435;2436,8,spirit in Below And On Top and Other Stories,Project Gutenberg Australia,review_exact_duplicate_narrative_unit
title_source_date,medicine man in magic|internet sacred text archive|1899,1277;1280;1281;1282;1333;1334,6,Medicine man in Magic,Internet Sacred Text Archive,review_exact_duplicate_narrative_unit
title_source_date,ghost in nuggets in the devil's punch bowl|project gutenberg|1894,1503;1504;1505;1506;2409;2410,6,ghost in Nuggets in the Devil's Punch Bowl,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,spirit in nuggets in the devil's punch bowl|project gutenberg|1894,1507;1508;1509;1510;2412;2419,6,spirit in Nuggets in the Devil's Punch Bowl,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,fairy in nuggets in the devil's punch bowl|project gutenberg|1894,1518;1519;1520;2420;2421;2422,6,fairy in Nuggets in the Devil's Punch Bowl,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,spirits in below and on top and other stories|project gutenberg australia|1898,2313;2316;2317;2318;2439;2440,6,spirits in Below And On Top and Other Stories,Project Gutenberg Australia,review_exact_duplicate_narrative_unit
title_source_date,bunyip in below and on top and other stories|project gutenberg australia|1898,2328;2329;2330;2331;2442;2443,6,bunyip in Below And On Top and Other Stories,Project Gutenberg Australia,review_exact_duplicate_narrative_unit
title_source_date,ghost in magic|internet sacred text archive|1899,1283;1335;1339;1340;1341,5,ghost in Magic,Internet Sacred Text Archive,review_exact_duplicate_narrative_unit
title_source_date,ghost in australian fairy tales|project gutenberg|1897,1491;1494;1495;1496;2380,5,ghost in Australian fairy tales,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,haunted in below and on top and other stories|project gutenberg australia|1898,2312;2323;2324;2325;2438,5,haunted in Below And On Top and Other Stories,Project Gutenberg Australia,review_exact_duplicate_narrative_unit
title_source_date,spirit in magic and medicine|internet sacred text archive|1914,1267;1268;1269;1271,4,spirit in Magic and Medicine,Internet Sacred Text Archive,review_exact_duplicate_narrative_unit
title_source_date,medicine man in magic and medicine|internet sacred text archive|1914,1270;1272;1273;1327,4,Medicine man in Magic and Medicine,Internet Sacred Text Archive,review_exact_duplicate_narrative_unit
title_source_date,kurdaitcha in magic|internet sacred text archive|1899,1276;1278;1279;1332,4,Kurdaitcha in Magic,Internet Sacred Text Archive,review_exact_duplicate_narrative_unit
title_source_date,ulthana in magic|internet sacred text archive|1899,1285;1286;1287;1337,4,Ulthana in Magic,Internet Sacred Text Archive,review_exact_duplicate_narrative_unit
title_source_date,iruntarinia in sacred objects and ceremonies|internet sacred text archive|1899,1289;1343;1345;1346,4,Iruntarinia in Sacred Objects and Ceremonies,Internet Sacred Text Archive,review_exact_duplicate_narrative_unit
title_source_date,mrart in initiation ceremonies|wikisource|1904,1291;1305;1323;1324,4,Mrart in Initiation Ceremonies,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,daramulun in initiation ceremonies|wikisource|1904,1292;1293;1294;1295,4,Daramulun in Initiation Ceremonies,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,bunjil in initiation ceremonies|wikisource|1904,1296;1303;1320;1321,4,Bunjil in Initiation Ceremonies,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,tharamulun in initiation ceremonies|wikisource|1904,1297;1298;1318;1319,4,Tharamulun in Initiation Ceremonies,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,baiame in initiation ceremonies|wikisource|1904,1300;1301;1302;1315,4,Baiame in Initiation Ceremonies,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,ghost in initiation ceremonies|wikisource|1904,1306;1307;1326;1415,4,ghost in Initiation Ceremonies,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,byamee in byamee and social organisation|wikisource|1905,1348;1349;1350;1351,4,Byamee in Byamee and Social Organisation,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,baiame in byamee and social organisation|wikisource|1905,1352;1355;1356;1357,4,Baiame in Byamee and Social Organisation,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,wizard in the medicine men|wikisource|1905,1365;1366;1367;1369,4,wizard in The Medicine Men,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,wurrunnah in legends and spirit figures|wikisource|1905,1375;1376;1423;1425,4,Wurrunnah in Legends and Spirit Figures,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,medicine-man in ethnological studies among the north-west-central queensland aborigines|internet archive|1897,1378;1379;1380;1381,4,medicine-man in Ethnological studies among the north-west-central Queensland aborigines,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,ghost in ethnological studies among the north-west-central queensland aborigines|internet archive|1897,1382;1385;1386;1387,4,ghost in Ethnological studies among the north-west-central Queensland aborigines,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,fairy in australian fairy tales|project gutenberg australia|1925,1393;1394;1395;1396,4,fairy in Australian Fairy Tales,Project Gutenberg Australia,review_exact_duplicate_narrative_unit
title_source_date,fairies in australian fairy tales|project gutenberg australia|1925,1397;1398;1399;1400,4,fairies in Australian Fairy Tales,Project Gutenberg Australia,review_exact_duplicate_narrative_unit
title_source_date,spirit in australian fairy tales|project gutenberg australia|1925,1401;1404;1405;1408,4,spirit in Australian Fairy Tales,Project Gutenberg Australia,review_exact_duplicate_narrative_unit
title_source_date,giant in australian fairy tales|project gutenberg australia|1925,1402;1403;1406;1407,4,giant in Australian Fairy Tales,Project Gutenberg Australia,review_exact_duplicate_narrative_unit
title_source_date,witch in fairy tales from australia|project gutenberg australia|1925,1410;1411;1412;1413,4,witch in Fairy Tales from Australia,Project Gutenberg Australia,review_exact_duplicate_narrative_unit
title_source_date,yhi in legends and spirit figures|wikisource|1905,1421;1422;1424;1426,4,Yhi in Legends and Spirit Figures,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,bunjil in tales and beliefs|wikisource|1904,1430;1431;1432;1433,4,Bunjil in Tales and Beliefs,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,spirit in introductory belief context|wikisource|1905,1435;1436;1438;1439,4,spirit in Introductory Belief Context,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,wirreenun in spirits and wirreenun|wikisource|1905,1440;1441;1442;1443,4,Wirreenun in Spirits and Wirreenun,Wikisource,review_exact_duplicate_narrative_unit
title_source_date,spirit in tales of the dandenongs third series|project gutenberg australia|1925,1458;1459;1464;1465,4,spirit in Tales of the Dandenongs Third Series,Project Gutenberg Australia,review_exact_duplicate_narrative_unit
title_source_date,witch in tales of the dandenongs third series|project gutenberg australia|1925,1460;1461;1462;1463,4,witch in Tales of the Dandenongs Third Series,Project Gutenberg Australia,review_exact_duplicate_narrative_unit
title_source_date,little man in australian fairy tales|project gutenberg|1897,1497;1498;1499;1500,4,little man in Australian fairy tales,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,ghost in steve brown's bunyip|project gutenberg|1893,1525;1526;1527;1528,4,ghost in Steve Brown's Bunyip,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,spirit in steve brown's bunyip|project gutenberg|1893,1531;1532;1533;1534,4,spirit in Steve Brown's Bunyip,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,devil in steve brown's bunyip|project gutenberg|1893,1535;1536;1537;1538,4,devil in Steve Brown's Bunyip,Project Gutenberg,review_exact_duplicate_narrative_unit
title_source_date,spirit in the native tribes of south australia|internet archive|1879,1545;1546;1547;1548,4,spirit in The Native Tribes of South Australia,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,ghost in the native tribes of south australia|internet archive|1879,1549;1550;1551;1552,4,ghost in The Native Tribes of South Australia,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,devil in the native tribes of south australia|internet archive|1879,1553;1554;1555;1556,4,devil in The Native Tribes of South Australia,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,witch in the native tribes of south australia|internet archive|1879,1557;1558;1559;1560,4,witch in The Native Tribes of South Australia,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,supernatural in the native tribes of south australia|internet archive|1879,1562;1563;1564;1565,4,supernatural in The Native Tribes of South Australia,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,spirit in eaglehawk and crow|internet archive|1899,1566;1567;1568;1569,4,spirit in Eaglehawk and Crow,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,ghost in eaglehawk and crow|internet archive|1899,1570;1571;1572;1575,4,ghost in Eaglehawk and Crow,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,spirit in kamilaroi and kurnai|internet archive|1880,1588;1589;1590;1591,4,spirit in Kamilaroi and Kurnai,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,ghost in kamilaroi and kurnai|internet archive|1880,1592;1593;1597;1598,4,ghost in Kamilaroi and Kurnai,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,witch in kamilaroi and kurnai|internet archive|1880,1594;1595;1602;1603,4,witch in Kamilaroi and Kurnai,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,kurnai in kamilaroi and kurnai|internet archive|1880,1596;1599;1600;1601,4,Kurnai in Kamilaroi and Kurnai,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,bunjil in kamilaroi and kurnai|internet archive|1880,1604;1605;1612;1613,4,Bunjil in Kamilaroi and Kurnai,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,supernatural in kamilaroi and kurnai|internet archive|1880,1609;1610;1611;1614,4,supernatural in Kamilaroi and Kurnai,Internet Archive,review_exact_duplicate_narrative_unit
title_source_date,"spirit in the folklore, manners, customs, and languages of the south australian aborigines|internet archive|1879",1616;1617;1618;1619,4,"spirit in The folklore, manners, customs, and languages of the South Australian aborigines",Internet Archive,review_exact_duplicate_narrative_unit
