record_id,title,source_name,source_type,state_territory,date_band,year,ontology_code,url
853,1825 - Richmond River Herald 06-03-1825,Australian Yowie Research,modern_web,NSW,backsearch_1803_1841,1825,cryptid_style_apeman,https://www.yowiehunters.com.au/media-clips/2254-1825-richmond-river-herald-06-03-1825
854,1825 - Sugarloaf Mountain NSW Yowie Article - Source Unknown,Australian Yowie Research,modern_web,NSW,backsearch_1803_1841,1825,cryptid_style_apeman,https://www.yowiehunters.com.au/media-clips/2154-1825-sugarloaf-mountain-nsw-yowie-article-source-unknown
636,1831 - Sailors Yowie Hoax?,Australian Yowie Research,modern_web,NSW,backsearch_1803_1841,1831,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1525-sailors-yowie-hoax-1831
1059,1842 - Aust and NZ Monthly Magazine Article,Australian Yowie Research,modern_web,,anchor_1842_1875,1842,cryptid_style_apeman,https://www.yowiehunters.com.au/historical-articles/1486-aust-and-nz-monthly-magazine-article-1842
2085,Boylya in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,Internet Archive,repository_full_text,WA,anchor_1842_1875,1842,retelling_or_adaptation,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt
2086,Boylya in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,Internet Archive,repository_full_text,WA,anchor_1842_1875,1842,retelling_or_adaptation,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt
2087,Boylya in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,Internet Archive,repository_full_text,WA,anchor_1842_1875,1842,spirit_person_narrative,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt
2088,Boylya in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,Internet Archive,repository_full_text,WA,anchor_1842_1875,1842,spirit_person_narrative,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt
2089,wizard in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,Internet Archive,repository_full_text,WA,anchor_1842_1875,1842,retelling_or_adaptation,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt
2090,magician in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,Internet Archive,repository_full_text,WA,anchor_1842_1875,1842,retelling_or_adaptation,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt
2091,magician in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,Internet Archive,repository_full_text,WA,anchor_1842_1875,1842,retelling_or_adaptation,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt
2092,spirit in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,Internet Archive,repository_full_text,WA,anchor_1842_1875,1842,spirit_person_narrative,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt
2093,magician in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,Internet Archive,repository_full_text,WA,anchor_1842_1875,1842,retelling_or_adaptation,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt
2094,spirit in A Descriptive Vocabulary of the Language in Common Use Amongst the Aborigines of Western Australia,Internet Archive,repository_full_text,WA,anchor_1842_1875,1842,spirit_person_narrative,https://archive.org/download/adescriptivevoc00moorgoog/adescriptivevoc00moorgoog_djvu.txt
