record_id,old_record_id_or_candidate_id,previous_place,previous_latitude,previous_longitude,previous_location_role,current_place_name,current_state_territory,current_country,current_latitude,current_longitude,current_location_type,current_relation_type,current_verification_status,current_geocode_source,source_evidence_text,queue_reason,required_source_place_confirmation,required_gazetteer_coordinate_verification,required_state_match_check,required_not_publication_place_check,required_verification_status_update,promotion_status,review_note
71,71,"Bendigo, VIC",-36.7590183,144.2826718,reported_place,"Bendigo, VIC",VIC,Australia,-36.7590183,144.2826718,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,Bendigo (North West - witness requests not to disclose),withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Bendigo, Victoria, 3550, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: Bendigo (North West - witness requests not to disclose)"
90,90,"Batemans Bay, NSW",-35.7072183,150.178289,reported_place,"Batemans Bay, NSW",NSW,Australia,-35.7072183,150.178289,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,"Batemans Bay, New South Wales",withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Batemans Bay, New South Wales, 2536, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: Batemans Bay, New South Wales"
93,93,"Batemans Bay, NSW",-35.7072183,150.178289,reported_place,"Batemans Bay, NSW",NSW,Australia,-35.7072183,150.178289,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,"Batemans Bay, New South Wales",withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Batemans Bay, New South Wales, 2536, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: Batemans Bay, New South Wales"
109,109,"Kempsey, NSW",-30.9056457,152.5228021,reported_place,"Kempsey, NSW",NSW,Australia,-30.9056457,152.5228021,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,Kempsey,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Kempsey Shire Council, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: Kempsey"
149,149,"Charters Towers, QLD",-20.0714089,146.2709824,reported_place,"Charters Towers, QLD",QLD,Australia,-20.0714089,146.2709824,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,"Charters Towers, Queensland",withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Charters Towers, Queensland, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: Charters Towers, Queensland"
154,154,"Charters Towers, QLD",-20.0714089,146.2709824,reported_place,"Charters Towers, QLD",QLD,Australia,-20.0714089,146.2709824,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,"Charters Towers, Queensland",withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Charters Towers, Queensland, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: Charters Towers, Queensland"
273,273,"Charters Towers, QLD",-20.0714089,146.2709824,reported_place,"Charters Towers, QLD",QLD,Australia,-20.0714089,146.2709824,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,"Charters Towers, Queensland",withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Charters Towers, Queensland, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: Charters Towers, Queensland"
382,382,"Crescent Head, NSW",-31.19,152.9761111,reported_place,"Crescent Head, NSW",NSW,Australia,-31.19,152.9761111,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,"Crescent Head (between Crescent Head and Pt Macquarie), New South Wales",withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Crescent Head, New South Wales, 2440, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: Crescent Head (between Crescent Head and Pt Macquarie), New South Wales"
482,482,"Kempsey, NSW",-30.9056457,152.5228021,reported_place,"Kempsey, NSW",NSW,Australia,-30.9056457,152.5228021,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,"Kempsey, New South Wales",withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Kempsey Shire Council, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: Kempsey, New South Wales"
637,637,"Sydney, NSW",-33.8698439,151.2082848,reported_place,"Sydney, NSW",NSW,Australia,-33.8698439,151.2082848,locality,reported_place,source_named_place_needs_geocode,ayr_public_page_location_field,1843 - Sydney Morning Herald,withheld_from_public_map_until_independent_geocode_verification,passed,passed,passed,passed,passed,promoted,"Nominatim gazetteer verified Sydney, New South Wales, Australia; distance from queued coordinate 0.0 km; source-stated place evidence: 1843 - Sydney Morning Herald"
