schema_version,legacy_record_id,source_item_id,narrative_id,primary_record_role,migration_confidence,review_flags,title,source_type,source_tier,narrative_type,secondary_role,analysis_status,ethics_review_status,display_mode
2.0.0,1,1,1,first-class narrative source,medium,[],Yowie,modern_web,C,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,2,2,2,first-class narrative source,medium,"[""indigenous_related""]",Yara-ma-yha-who,modern_web,C,traditional_narrative,heritage_discourse,display_ready_unreviewed,caution_indigenous_related,summary_only
2.0.0,3,3,3,first-class narrative source,medium,"[""high_sensitivity""]",Wandjina,modern_web,C,spirit_person_narrative,heritage_discourse,display_ready_unreviewed,requires_ethics_review,summary_only
2.0.0,4,4,,control,medium,"[""control""]",Bunyip,modern_web,C,,,,,
2.0.0,5,5,,control,medium,"[""control""]",Drop bear,modern_web,C,,,,,
2.0.0,6,6,4,first-class narrative source,medium,[],Yowie country: Queensland town revamps tourism brand as a prime spot for mythological creature,modern_web,C,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,13,7,5,first-class narrative source,medium,"[""indigenous_related""]",Nargun,modern_web,C,traditional_narrative,heritage_discourse,display_ready_unreviewed,caution_indigenous_related,summary_only
2.0.0,14,8,6,first-class narrative source,medium,[],"Kalamundra, Western Australia 1983",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,15,9,7,first-class narrative source,medium,[],"Australind, Western Australia 1991",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,16,10,8,first-class narrative source,medium,[],"Exmouth, Western Australia 1993",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,17,11,9,first-class narrative source,medium,[],"Coral Bay, Western Australia 2000",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,18,12,10,first-class narrative source,medium,[],"Lancedin, Western Australia 2000",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,19,13,11,first-class narrative source,medium,[],"Greenbushes, Western Australia 2008",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,20,14,12,first-class narrative source,medium,[],"Donnybrook, Western Australia 2011",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,21,15,13,first-class narrative source,medium,[],"Mandurah, Western Australia 2011",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,22,16,14,first-class narrative source,medium,[],"Jarrahdale, Western Australia 2020",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,23,17,15,first-class narrative source,medium,[],"Alcoa Wetlands, Western Australia 2022",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,24,18,16,first-class narrative source,medium,[],"Willunga, South Australia 1992",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,25,19,17,first-class narrative source,medium,[],"Yalata, South Australia 1993",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,26,20,18,first-class narrative source,medium,[],"Roxby Downs, South Australia 1995",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,27,21,19,first-class narrative source,medium,[],"Wilpena Pound, South Australia 2014",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,28,22,20,first-class narrative source,medium,[],"Sixth Creek - Adelaide Hills, South Australia 2015",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,29,23,21,first-class narrative source,medium,[],"Loxton, South Australia 2016",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,30,24,22,first-class narrative source,medium,[],"Poochera, South Australia 2016",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,31,25,23,first-class narrative source,medium,[],"Darwin (Fannie Bay), Northern Territory 1979",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,32,26,24,first-class narrative source,medium,[],"Yambah Station, Northern Territory 1987",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,33,27,25,first-class narrative source,medium,[],"Berry Springs, Northern Territory 1995",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,34,28,26,first-class narrative source,medium,[],"Acacia Hills, Northern Territory 1997 (1)",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,35,29,27,first-class narrative source,medium,[],"Acacia Hills, Northern Territory 1997 (2)",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,36,30,28,first-class narrative source,medium,[],"Acacia Hills & Humpty Doo, Northern Territory 1998",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,37,31,29,first-class narrative source,medium,[],"Adelaide River, Northern Territory 1998",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,38,32,30,first-class narrative source,medium,[],"Tanima Desert, Northern Territory 1998",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,39,33,31,first-class narrative source,medium,[],"Kings Canyon, Northern Territory 2001",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,40,34,32,first-class narrative source,medium,[],"Lake Dulverton, Tasmania 1987 (1)",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,41,35,33,first-class narrative source,medium,[],"Lake Dulverton, Tasmania 1987 (2)",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,42,36,34,first-class narrative source,medium,[],"Smithton, Tasmania 1992",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,43,37,35,first-class narrative source,medium,[],"Christmas Hills Reserve, Tasmania 2024",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,44,38,36,first-class narrative source,medium,"[""original_article_verification_required""]","Phillip Island, Victoria 1849",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,45,39,37,first-class narrative source,medium,[],"Sherbrooke Forest, Victoria 1970",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,46,40,38,first-class narrative source,medium,[],"Colac, Victoria 1980",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,47,41,39,first-class narrative source,medium,[],"Kinglake West & Eden Park, Victoria late 1980's",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,48,42,40,first-class narrative source,medium,[],"Cranbourne, Victoria 1982",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,49,43,41,first-class narrative source,medium,[],"Noojee, Victoria 1984",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,50,44,42,first-class narrative source,medium,[],"Toolangi, Victoria 1984",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,51,45,43,first-class narrative source,medium,[],"Avonsleigh, Victoria 1985",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,52,46,44,first-class narrative source,medium,[],"Darriman, Victoria 1985",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,53,47,45,first-class narrative source,medium,[],"Cranbourne, Victoria 1987",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,54,48,46,first-class narrative source,medium,[],"Lyndhurst, Victoria 1987",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,55,49,47,first-class narrative source,medium,"[""original_article_verification_required""]","Emerald, Victoria 1988",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,56,50,48,first-class narrative source,medium,[],"Dellicknora, Victoria 1990",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,57,51,49,first-class narrative source,medium,[],"Lake Buffalo, Victoria 1991",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,58,52,50,first-class narrative source,medium,[],"Hepburn Springs, Victoria 1993",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,59,53,51,first-class narrative source,medium,[],"Aberfeldy, Victoria 1996",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,60,54,52,first-class narrative source,medium,[],"Warnambool, Victoria 1997",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,61,55,53,first-class narrative source,medium,[],"Wilsons Promontory, Victoria 1999",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,62,56,54,first-class narrative source,medium,[],"Licola, Victoria 2002",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,63,57,55,first-class narrative source,medium,[],"Robinvale, Victoria 2004",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,64,58,56,first-class narrative source,medium,[],"Mansfield, Victoria 2006",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,65,59,57,first-class narrative source,medium,[],"Barmah Forest (Murray River), Victoria 2007",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,66,60,58,first-class narrative source,medium,[],"Nowa Nowa, Victoria 2007",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,67,61,59,first-class narrative source,medium,[],"Redbank, Victoria 2008 (2)",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,68,62,60,first-class narrative source,medium,[],"Robinvale, Victoria 2008",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,69,63,61,first-class narrative source,medium,[],"Aberfeldy, Victoria 2010",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,70,64,62,first-class narrative source,medium,[],"Briagolong, Victoria 2010",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,71,65,63,first-class narrative source,medium,[],"Bendigo (area), Victoria 2011",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,72,66,64,first-class narrative source,medium,[],"Falls Creek, Victoria 2011",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,73,67,65,first-class narrative source,medium,[],"Yarra Valley, Victoria 2011",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,74,68,66,first-class narrative source,medium,[],"Bemm River, Victoria 2013",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,75,69,67,first-class narrative source,medium,[],"Healesville, Victoria 2013",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,76,70,68,first-class narrative source,medium,[],"Harrietville, Victoria 2015",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,77,71,69,first-class narrative source,medium,[],"Mount Hotham, Victoria 2015",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,78,72,70,first-class narrative source,medium,[],"Goongerah, Victoria 2016",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,79,73,71,first-class narrative source,medium,[],"Noojee, Victoria 2016",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,80,74,72,first-class narrative source,medium,[],"Bunyip, Victoria 2018",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,81,75,73,first-class narrative source,medium,[],"Blackwood, Victoria 2019",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,82,76,74,first-class narrative source,medium,[],"Creswick, Victoria 2020",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,83,77,75,first-class narrative source,medium,[],"Mitta Mitta, Victoria 2023",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,84,78,76,first-class narrative source,medium,"[""original_article_verification_required""]","Braidwood, New South Wales 1870",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,85,79,77,first-class narrative source,medium,"[""original_article_verification_required""]","Charlton, New South Wales 1923",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,86,80,78,first-class narrative source,medium,"[""original_article_verification_required""]","Dungay Creek, New South Wales 1962",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,87,81,79,first-class narrative source,medium,"[""original_article_verification_required""]","Woy Woy, New South Wales 1968",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,88,82,80,first-class narrative source,medium,[],"Middle Brother Mountain, New South Wales 1973",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,89,83,81,first-class narrative source,medium,[],"Katoomba, New South Wales 1975",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,90,84,82,first-class narrative source,medium,[],"Bateman's Bay, New South Wales 1977",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,91,85,83,first-class narrative source,medium,[],"Talingbo, New South Wales 1977",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,92,86,84,first-class narrative source,medium,[],"Mogo, New South Wales 1978",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,93,87,85,first-class narrative source,medium,[],"Bateman's Bay, New South Wales 1979",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,94,88,86,first-class narrative source,medium,[],"Wentworth Falls, New South Wales 1979",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,95,89,87,first-class narrative source,medium,[],"Coffs Harbour, New South Wales 1980",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,96,90,88,first-class narrative source,medium,[],"Wee Jasper & Uki, New South Wales 1980",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,97,91,89,first-class narrative source,medium,[],"Ophir, New South Wales 1982",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,98,92,90,first-class narrative source,medium,[],"Evans Head, New South Wales 1983",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,99,93,91,first-class narrative source,medium,[],"Brooklyn, New South Wales 1984",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,100,94,92,first-class narrative source,medium,[],"Sunny Corner, New South Wales 1985",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,101,95,93,first-class narrative source,medium,[],"Border Ranges and Blue Knob, New South Wales 1987 & 2015",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,102,96,94,first-class narrative source,medium,[],"Mt. Kembla, New South Wales 1988",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,103,97,95,first-class narrative source,medium,[],"Bateman's Bay, New South Wales 1990",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,104,98,96,first-class narrative source,medium,[],"Fingal Head, New South Wales 1990",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,105,99,97,first-class narrative source,medium,[],"Tallong, New South Wales 1990",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,106,100,98,first-class narrative source,medium,[],"Callala Bay, New South Wales 1992",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,107,101,99,first-class narrative source,medium,[],"Leeville, New South Wales 1993",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,108,102,100,first-class narrative source,medium,[],"Mulgoa, New South Wales 1994",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,109,103,101,first-class narrative source,medium,[],"Kempsey, New Sout Wales 1995",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
2.0.0,110,104,102,first-class narrative source,medium,[],"Cessnock, New South Wales 1996",modern_web,E,encounter_account,,display_ready_unreviewed,ok_public,full
