candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Internet Archive,repository_full_text_article,B,"spirit of the dead in North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead","North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead; Walter E. Roth",1907,2026-06-22,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,sprint-internet-archive-roth:biostor-52904:spirit-of-the-dead:001,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public OCR article on North Queensland burial and spirit beliefs exposed through an exact Internet Archive/BioStor item.,explicit_supernatural_or_anomalous_person_form_agent,spirit of the dead,North Queensland,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"RECORDS OF THE AUSTRALIAN MUSEUM. and by so doing, to insure the well-being of the survivors. Death, disease and accident are not natural phenomena in that they are believed to be due directly or indirectly to human agency,” to some enemy in the flesh or spirit? dooming the individual to a particular form of death e.g. by lightning, flood, spear: it is this spirit of the dead in one form or another that brings all their troubles and dangers to the living, and hence the anxiety of the latter to satisfy is claims to the lastfar thing. Furthermore, the influence for good or for evil of such spirits is to be judged from the bodies."
accepted,Internet Archive,repository_full_text_article,B,"spirit of the dead in North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead","North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead; Walter E. Roth",1907,2026-06-22,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,sprint-internet-archive-roth:biostor-52904:spirit-of-the-dead:002,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public OCR article on North Queensland burial and spirit beliefs exposed through an exact Internet Archive/BioStor item.,explicit_supernatural_or_anomalous_person_form_agent,spirit of the dead,North Queensland,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"emy in the flesh or spirit? dooming the individual to a particular form of death e.g. by lightning, flood, spear: it is this spirit of the dead in one form or another that brings all their troubles and dangers to the living, and hence the anxiety of the latter to satisfy is claims to the lastfar thing. Furthermore, the influence for good or for evil of such spirits is to be judged from the bodies whence they have been originally derived,’ with the result that the spirits of women, clildren, infirm and invalid old men, whom, during hfe, the survivors had no reason to tear, need not be bothered about in the way of ceremonial to the."
accepted,Internet Archive,repository_full_text_article,B,"spirits in North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead","North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead; Walter E. Roth",1907,2026-06-22,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,sprint-internet-archive-roth:biostor-52904:spirits:003,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public OCR article on North Queensland burial and spirit beliefs exposed through an exact Internet Archive/BioStor item.,explicit_supernatural_or_anomalous_person_form_agent,spirits,North Queensland,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"yendume dakatiou gura 8 8 moveable-possessions gather place other-on to sit down aud dana dadara. Dirainggur nobungo nawaigo nandaya nulu they v0. Old man one there will remain he pirra-wego pinggalnggal watchi mala nadinu-ngo. Gura foliage- behind sits spirit guilty to see-for. And dana dadaiga wutchi-ngai wau-wu ngangoigo kadara nima gu, they having gone spirits breath quickly come grave-to unggadirgo, gau-wal-tchirgo, gamai-tchirgo, kalka-dirgo, wailing-with, screamiug-with, clay-with, spear-with, milbir-tchirgo, yoku-dir-go, diral-tchirgo, pitagur-tchirgo. wommera-with, | wood-with, wives-with, children-with. Gara nulu wauwu."
accepted,Internet Archive,repository_full_text_article,B,"spirits in North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead","North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead; Walter E. Roth",1907,2026-06-22,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,sprint-internet-archive-roth:biostor-52904:spirits:004,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public OCR article on North Queensland burial and spirit beliefs exposed through an exact Internet Archive/BioStor item.,explicit_supernatural_or_anomalous_person_form_agent,spirits,North Queensland,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"gura nulu mala-n yoku earth vehemently will shake and he guilty-at wood mulbango karbalbal. Gura dana wauwu-ngai warimanati- firmly holds. Aud they spits haviag disappeared- budo, bobo kana nangaren nulu yoku dubil gura kadara iodeed, earth first shook he wood lets go and comes gura dirainggur-be melbi meril wutchiogai warka-ngamu and old men-to news tells spirits altogether wamega gura yenudu damaiga nangaren-budo. having seen and one havingspeared (earth) having shaken-indeed. Merehl gura dana wauwu nima-ngu kadarai: nayun (He) tells (them) also they spirits gsave-to came those (only) gari yendu; wauwu peba ngamu gura daunu-gai."
accepted,Internet Archive,repository_full_text_article,B,"spirits in North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead","North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead; Walter E. Roth",1907,2026-06-22,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,sprint-internet-archive-roth:biostor-52904:spirits:005,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public OCR article on North Queensland burial and spirit beliefs exposed through an exact Internet Archive/BioStor item.,explicit_supernatural_or_anomalous_person_form_agent,spirits,North Queensland,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"nulu yoku dubil gura kadara iodeed, earth first shook he wood lets go and comes gura dirainggur-be melbi meril wutchiogai warka-ngamu and old men-to news tells spirits altogether wamega gura yenudu damaiga nangaren-budo. having seen and one havingspeared (earth) having shaken-indeed. Merehl gura dana wauwu nima-ngu kadarai: nayun (He) tells (them) also they spirits gsave-to came those (only) gari yendu; wauwu peba ngamu gura daunu-gai danapgan- vot others; spirits father, mother and friends them- gala unulu nadetehi: gwa nuln wauwu yendu damai indeed he Saw : and hie spirit another speared nayuo daunn bama yendu-me. Gura dana."
accepted,Internet Archive,repository_full_text_article,B,"spirits in North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead","North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead; Walter E. Roth",1907,2026-06-22,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,sprint-internet-archive-roth:biostor-52904:spirits:006,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public OCR article on North Queensland burial and spirit beliefs exposed through an exact Internet Archive/BioStor item.,explicit_supernatural_or_anomalous_person_form_agent,spirits,North Queensland,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"camp from which the | eae Is now removed, put it in the shade. Then the women come forth again to ery over it, and when this is done they take up their moveable- -possessions and shift their camp somewhere else. One old-man only remains there, hi lng himself behind bushes in order to see the spirit™ of the guilty one. And as soon as the others are gone the spirits quickly appear at the vrave wailing and sereaming, painted with white clay, carry- ing spears, wommeras, and pieces of wood, and also having their wives and children with them. But the watcher looks for the guilty one to spear him and does so when he sees him. Having."
accepted,Internet Archive,repository_full_text_article,B,"dead in North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead","North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead; Walter E. Roth",1907,2026-06-22,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,sprint-internet-archive-roth:biostor-52904:dead:007,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public OCR article on North Queensland burial and spirit beliefs exposed through an exact Internet Archive/BioStor item.,explicit_supernatural_or_anomalous_person_form_agent,dead,North Queensland,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"HE AUSTRALIAN MUSEUM. friend.’ And those who had previously attended to the corpse now leave the locality where the flesh is buried in the ground. The women dare by no means go to the spot again or we alk on the same road or even drink water from this place which is now ‘tabu’ except to the old men. Tf the women did so they would be killed by the deceased's spirits: that is what they are frightened of, and so they alwavs take another road while the men follow Mie usual track. After some time when the corpse becomes old, the men cut off their hair and beard out of regard to the deces — and burn some of his property, not all, but."
accepted,Internet Archive,repository_full_text_article,B,"dead in North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead","North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead; Walter E. Roth",1907,2026-06-22,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,sprint-internet-archive-roth:biostor-52904:dead:008,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public OCR article on North Queensland burial and spirit beliefs exposed through an exact Internet Archive/BioStor item.,explicit_supernatural_or_anomalous_person_form_agent,dead,North Queensland,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"bs being previously removed from the portions so dis- tributed, and put aside: it was only the back-bone to- gether with the ribs and attached meat that were thrown into the fire and so destroyed. The sentiment which prompted this eating of the deceased was a double one: the survivors knew where the dead actually were and so could not be frightened by their spirits, while the disposal of the corpse in this manner pre- vented its going bad and stinking. The liver was eaten, but the entrails, heart and lungs buried, the spot being marked by three sticks about a foot high, éachi wound round with grass-rope, and stuck closely’ apposed."
accepted,Internet Archive,repository_full_text_article,B,"spirit in North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead","North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead; Walter E. Roth",1907,2026-06-22,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,sprint-internet-archive-roth:biostor-52904:spirit:009,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public OCR article on North Queensland burial and spirit beliefs exposed through an exact Internet Archive/BioStor item.,explicit_supernatural_or_anomalous_person_form_agent,spirit,North Queensland,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"pending upon the prowess, sex, age, ete. of the departed can be accounted for, minor distinctions in the methods of holding the inquest and discovering the culprit varying with the modifications in local superstitions. Again, this ignorance of the true meaning of death leads to difficulties in recognising the period of its occurrence,” the exact time of the spirit’s release from its fleshy prison; these difficulties are all the more excusable when it 1s remembered that the spirit, vital principle,’ etc., may be associated either with the shadow, breath, heart, after-hirth, ears or nose, and hence can be seen, heard, smelt, ete. As."
accepted,Internet Archive,repository_full_text_article,B,"spirit in North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead","North Queensland Ethnography. Bulletin No. 9. Burial ceremonies, and disposal of the dead; Walter E. Roth",1907,2026-06-22,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,https://archive.org/download/biostor-52904/biostor-52904_djvu.txt,sprint-internet-archive-roth:biostor-52904:spirit:010,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public OCR article on North Queensland burial and spirit beliefs exposed through an exact Internet Archive/BioStor item.,explicit_supernatural_or_anomalous_person_form_agent,spirit,North Queensland,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"deceased may speak and be spoken to, that he may be supphed with victuals at the grave-side, that he may be fixed in the best position suitable to allow of him watching the ceremonial danees cete. carried out in his especial honour, and that he may be decorated to such an extent as will satisfy his vanity to the full. It thus also follows that only when the spirit has been propitiated and avenged (by the sacrifice of another's, ete.) that what remains of to Bull. 5—Sects. 113, 114. 3 Bull. 5—Sects. 115, 116. 4 Bull. 5—Sect. 65 ef seq., 74, ete. ~ > Bull. 5—The names of females whicli are necessarily tabu ma death, Sect. 72. 6 The."
