candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Project Gutenberg,public_domain_ebook,A,ghost in On the Track,On the Track; Henry Lawson,1900,2026-06-22,https://www.gutenberg.org/ebooks/1231.txt.utf-8,https://www.gutenberg.org/ebooks/1231.txt.utf-8,sprint-project-gutenberg-law:gutenberg-1231-lawson-on-the:ghost:001,public_domain_public_web,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Australian story collection distributed by Project Gutenberg.,explicit_supernatural_or_anomalous_person_form_agent,ghost,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"below his elbows and a tail that scarcely reached his waist behind.) And his hair seemed dark and lank, instead of bein' sandy and stickin' out like an old fibre brush, as it used ter. And then I thought his voice sounded different, too. And, when I enquired next day, there was no one heard of Dave, and the chaps reckoned I must have been drunk, or seen his ghost. “It didn't seem all right at all--it worried me a lot. I couldn't make out how Dave kept dry; and the horse and saddle and saddle-cloth was wet. I told the chaps how he talked to me and what he said, and how he swore at the horse; but they only said it was Dave's ghost."
accepted,Project Gutenberg,public_domain_ebook,A,ghost in On the Track,On the Track; Henry Lawson,1900,2026-06-22,https://www.gutenberg.org/ebooks/1231.txt.utf-8,https://www.gutenberg.org/ebooks/1231.txt.utf-8,sprint-project-gutenberg-law:gutenberg-1231-lawson-on-the:ghost:002,public_domain_public_web,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Australian story collection distributed by Project Gutenberg.,explicit_supernatural_or_anomalous_person_form_agent,ghost,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"ere was no one heard of Dave, and the chaps reckoned I must have been drunk, or seen his ghost. “It didn't seem all right at all--it worried me a lot. I couldn't make out how Dave kept dry; and the horse and saddle and saddle-cloth was wet. I told the chaps how he talked to me and what he said, and how he swore at the horse; but they only said it was Dave's ghost and nobody else's. I told 'em about him bein' dry as a bone after gettin' caught in that storm; but they only laughed and said it was a dry place where Dave went to. I talked and argued about it until the chaps began to tap their foreheads and wink--then I left off."
accepted,Project Gutenberg,public_domain_ebook,A,ghost in On the Track,On the Track; Henry Lawson,1900,2026-06-22,https://www.gutenberg.org/ebooks/1231.txt.utf-8,https://www.gutenberg.org/ebooks/1231.txt.utf-8,sprint-project-gutenberg-law:gutenberg-1231-lawson-on-the:ghost:003,public_domain_public_web,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Australian story collection distributed by Project Gutenberg.,explicit_supernatural_or_anomalous_person_form_agent,ghost,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"ein' dry as a bone after gettin' caught in that storm; but they only laughed and said it was a dry place where Dave went to. I talked and argued about it until the chaps began to tap their foreheads and wink--then I left off talking. But I didn't leave off thinkin'--I always hated a mystery. Even Dave's father told me that Dave couldn't be alive or else his ghost wouldn't be round--he said he knew Dave better than that. One or two fellers did turn up afterwards that had seen Dave about the time that I did--and then the chaps said they was sure that Dave was dead. “But one fine day, as a lot of us chaps was playin' pitch and toss."
accepted,Project Gutenberg,public_domain_ebook,A,ghost in On the Track,On the Track; Henry Lawson,1900,2026-06-22,https://www.gutenberg.org/ebooks/1231.txt.utf-8,https://www.gutenberg.org/ebooks/1231.txt.utf-8,sprint-project-gutenberg-law:gutenberg-1231-lawson-on-the:ghost:004,public_domain_public_web,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Australian story collection distributed by Project Gutenberg.,explicit_supernatural_or_anomalous_person_form_agent,ghost,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"had died in child-birth the first year on the selection--“she was a fine girl he'd heered!” He told me the story as the old man had told it, and in pretty well the same words, even to giving it as his opinion that it was no place for a woman. “And he 'hatted' and brooded over it till he went ratty.” I knew the rest. He not only thought that his wife, or the ghost of his wife, had been with him all those years, but that the child had lived and grown up, and that the wife did the housework; which, of course, he must have done himself. When we reached him his knotted hands had fallen for the last time, and they were at rest. I only."
accepted,Project Gutenberg,public_domain_ebook,A,haunted in On the Track,On the Track; Henry Lawson,1900,2026-06-22,https://www.gutenberg.org/ebooks/1231.txt.utf-8,https://www.gutenberg.org/ebooks/1231.txt.utf-8,sprint-project-gutenberg-law:gutenberg-1231-lawson-on-the:haunted:005,public_domain_public_web,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian story collection distributed by Project Gutenberg.,explicit_supernatural_or_anomalous_person_form_agent,haunted,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"recollection of a circus on Gulgong in the roaring days, more than twenty years ago, and a woman (to my child-fancy a being from another world) standing in the middle of the ring, singing: Out in the cold world--out in the street-- Asking a penny from each one I meet; Cheerless I wander about all the day, Wearing my young life in sorrow away! That last line haunted me for many years. I remember being frightened by women sobbing (and one or two great grown-up diggers also) that night in that circus. “Father, Dear Father, Come Home with Me Now”, was a sacred song then, not a peg for vulgar parodies and more vulgar “business” for."
accepted,Project Gutenberg,public_domain_ebook,A,haunted in On the Track,On the Track; Henry Lawson,1900,2026-06-22,https://www.gutenberg.org/ebooks/1231.txt.utf-8,https://www.gutenberg.org/ebooks/1231.txt.utf-8,sprint-project-gutenberg-law:gutenberg-1231-lawson-on-the:haunted:006,public_domain_public_web,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian story collection distributed by Project Gutenberg.,explicit_supernatural_or_anomalous_person_form_agent,haunted,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"happened to be alive by accident. He was very restless in the house, and never took his hat off. There was a dress and a woman's old hat hanging on the wall near the door, but they looked as if they might have been hanging there for a lifetime. There seemed something queer about the whole place--something wanting; but then all out-of-the-way bush homes are haunted by that something wanting, or, more likely, by the spirits of the things that should have been there, but never had been. As I rode down the track to the road I looked back and saw old Howlett hard at work in a hole round a big stump with his long-handled shovel. I'd."
accepted,Project Gutenberg,public_domain_ebook,A,spirit in On the Track,On the Track; Henry Lawson,1900,2026-06-22,https://www.gutenberg.org/ebooks/1231.txt.utf-8,https://www.gutenberg.org/ebooks/1231.txt.utf-8,sprint-project-gutenberg-law:gutenberg-1231-lawson-on-the:spirit:007,public_domain_public_web,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian story collection distributed by Project Gutenberg.,explicit_supernatural_or_anomalous_person_form_agent,spirit,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"ith big families to keep, and cut us off in the bloom of all our wisdom. You might get into trouble, and, in that case, I'd be bound to leave you there, on principle; or I might get into trouble, and you wouldn't have the brains to get me out--though I know you'd be mug enough to try. I might make a rise and cut you, or you might be misled into showing some spirit, and clear out after I'd stoushed you for it. You might get tired of me calling you a mug, and bossing you and making a tool or convenience of you, you know. You might go in for honest graft (you were always a bit weak-minded) and then I'd have to wash my hands of you."
accepted,Project Gutenberg,public_domain_ebook,A,Dave in On the Track,On the Track; Henry Lawson,1900,2026-06-22,https://www.gutenberg.org/ebooks/1231.txt.utf-8,https://www.gutenberg.org/ebooks/1231.txt.utf-8,sprint-project-gutenberg-law:gutenberg-1231-lawson-on-the:dave:008,public_domain_public_web,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian story collection distributed by Project Gutenberg.,explicit_supernatural_or_anomalous_person_form_agent,Dave,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"rors have been corrected after being confirmed.] Preface Of the stories in this volume many have already appeared in (various periodicals), while several now appear in print for the first time. H. L. Sydney, March 17th, 1900. Contents The Songs They used to Sing A Vision of Sandy Blight Andy Page's Rival The Iron-Bark Chip “Middleton's Peter” The Mystery of Dave Regan Mitchell on Matrimony Mitchell on Women No Place for a Woman Mitchell's Jobs Bill, the Ventriloquial Rooster Bush Cats Meeting Old Mates Two Larrikins Mr. Smellingscheck “A Rough Shed” Payable Gold An Oversight of Steelman's How Steelman told his Story ON THE TRACK."
accepted,Project Gutenberg,public_domain_ebook,A,Dave in On the Track,On the Track; Henry Lawson,1900,2026-06-22,https://www.gutenberg.org/ebooks/1231.txt.utf-8,https://www.gutenberg.org/ebooks/1231.txt.utf-8,sprint-project-gutenberg-law:gutenberg-1231-lawson-on-the:dave:009,public_domain_public_web,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian story collection distributed by Project Gutenberg.,explicit_supernatural_or_anomalous_person_form_agent,Dave,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"mind; and evidently not succeeding--for the last two panels were out of line. He was ramming a post--Andy rammed honestly, from the bottom of the hole, not the last few shovelfuls below the surface, as some do. He was ramming the last layer of clay when a cloud of white dust came along the road, paused, and drifted or poured off into the scrub, leaving long Dave Bentley, the horse-breaker, on his last victim. “'Ello, Andy! Graftin'?” “I want to speak to you, Dave,” said Andy, in a strange voice. “All--all right!” said Dave, rather puzzled. He got down, wondering what was up, and hung his horse to the last post but one. Dave was."
accepted,Project Gutenberg,public_domain_ebook,A,Dave in On the Track,On the Track; Henry Lawson,1900,2026-06-22,https://www.gutenberg.org/ebooks/1231.txt.utf-8,https://www.gutenberg.org/ebooks/1231.txt.utf-8,sprint-project-gutenberg-law:gutenberg-1231-lawson-on-the:dave:010,public_domain_public_web,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian story collection distributed by Project Gutenberg.,explicit_supernatural_or_anomalous_person_form_agent,Dave,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"few shovelfuls below the surface, as some do. He was ramming the last layer of clay when a cloud of white dust came along the road, paused, and drifted or poured off into the scrub, leaving long Dave Bentley, the horse-breaker, on his last victim. “'Ello, Andy! Graftin'?” “I want to speak to you, Dave,” said Andy, in a strange voice. “All--all right!” said Dave, rather puzzled. He got down, wondering what was up, and hung his horse to the last post but one. Dave was Andy's opposite in one respect: he jumped to conclusions, as women do; but, unlike women, he was mostly wrong. He was an old chum and mate of Andy's who had always."
