candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Internet Archive,repository_full_text,B,wraiths in A Colonial Tramp,A Colonial Tramp; Hume Nisbet,1891,2026-06-22,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,sprint-internet-archive-nisb:acolonialtrampt00nisbgoog:wraiths:001,public_text_item,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Australian travel narrative exposed through an exact Internet Archive item; accepted rows are limited to explicit supernatural person-form belief passages.,explicit_supernatural_or_anomalous_person_form_agent,wraiths,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"ne ; he comes in the lightning, and destroys the trees, and kills the people and eats their children. The owl is his special messenger, tout and spy, so that they abhor this bird of evil omen. Muuruup lives below the ground, in a place all fire, and has a number of evil spirits under his command. The man in the moon is also a devil. They believe strongly in wraiths, ghosts, male and female devils, and witches. When any one dies his ghost haunts the earth, and, although considered harmless, is regarded with great fear. Every native has a wraith, which only appears to him before his death. They have their own superstitious ideas of."
accepted,Internet Archive,repository_full_text,B,ghosts in A Colonial Tramp,A Colonial Tramp; Hume Nisbet,1891,2026-06-22,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,sprint-internet-archive-nisb:acolonialtrampt00nisbgoog:ghosts:002,public_text_item,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Australian travel narrative exposed through an exact Internet Archive item; accepted rows are limited to explicit supernatural person-form belief passages.,explicit_supernatural_or_anomalous_person_form_agent,ghosts,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"put my candle upon the table, undressed myself hastily, plunged into bed, and blew out the light. How long I lay there shivering, anticipating horror, I can hardly tell ; but at last I must have dropped asleep, for I woke up all at once with a wild start and the instantaneous feeling that it was with me. In which part ? In what frame of mind ? Ye gods ! ten ghosts at my bedside, all point- ing fieshless fingers at me, and glaring out of phosphores- cent but sightless eyeholes, would have been warmly wel- comed rather than this silent horror. I lay motionless, listening. It might be on the bed or under the pillow, or amongst my."
accepted,Internet Archive,repository_full_text,B,ghost in A Colonial Tramp,A Colonial Tramp; Hume Nisbet,1891,2026-06-22,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,sprint-internet-archive-nisb:acolonialtrampt00nisbgoog:ghost:003,public_text_item,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Australian travel narrative exposed through an exact Internet Archive item; accepted rows are limited to explicit supernatural person-form belief passages.,explicit_supernatural_or_anomalous_person_form_agent,ghost,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"her, stronger lights, from ships and beacons, red, yellow, and green. These star-like jets of gleaming in front of that looming Indian-ink- like waste, against the mellow depth of the upper space, where the blazing worlds are rolling, with the sea flowing rapidly but silently through that narrow strait, and filled with phosphorescence, and the ship gliding, ghost-like, through it all, fill me (the only passenger left on deck) with a thrilling sense of immensity, as if I were treading my way through a world of stars. By day we had sighted the Sierra Nevada mountains, lying about forty to sixty miles inland, yet from our dis- tance."
accepted,Internet Archive,repository_full_text,B,ghost in A Colonial Tramp,A Colonial Tramp; Hume Nisbet,1891,2026-06-22,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,sprint-internet-archive-nisb:acolonialtrampt00nisbgoog:ghost:004,public_text_item,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Australian travel narrative exposed through an exact Internet Archive item; accepted rows are limited to explicit supernatural person-form belief passages.,explicit_supernatural_or_anomalous_person_form_agent,ghost,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"NE 91 my brave hero; as it was, I drew a line between the different accounts, and entitled my doggerel ' Carracioli.' I had not reckoned upon that skeleton when I dreamt of my conception, neither did I take into consideration the fascinating Emma Hamilton ; but after my dive below the surface I found that they both filled up the foreground, with a pale thin ghost behind called * Nelson.' The poem was a failure, and I am glad of it. My friend Bussell and I had a discussion on the city young men who were so prominent in the stalls of theatres, bar-rooms, Gunter's, and on 'the block.' He said : — 'No, don't take these as specimens of."
accepted,Internet Archive,repository_full_text,B,ghost in A Colonial Tramp,A Colonial Tramp; Hume Nisbet,1891,2026-06-22,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,sprint-internet-archive-nisb:acolonialtrampt00nisbgoog:ghost:005,public_text_item,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Australian travel narrative exposed through an exact Internet Archive item; accepted rows are limited to explicit supernatural person-form belief passages.,explicit_supernatural_or_anomalous_person_form_agent,ghost,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"stone and flew away the three spies came down and removed it and took a drink and a bath, remarking, 'King gnakko gnal' — 'we have done him.' They flapped their wings with joy, and the water rose till it formed a lake. They then flew all over the parched country, flapping their wings and forming water- holes, which have been drinking-places ever since. The Ghost. A man, travelling in the country of a friendly tribe, came upon a deserted habitation. Above the doorway he saw the usual crooked stick, pointing in the direction which the family had taken, and all round about the place pieces of bark covered with white clay, indicating."
accepted,Internet Archive,repository_full_text,B,ghost in A Colonial Tramp,A Colonial Tramp; Hume Nisbet,1891,2026-06-22,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,sprint-internet-archive-nisb:acolonialtrampt00nisbgoog:ghost:006,public_text_item,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Australian travel narrative exposed through an exact Internet Archive item; accepted rows are limited to explicit supernatural person-form belief passages.,explicit_supernatural_or_anomalous_person_form_agent,ghost,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"t the foot of the tree and ascended it. On removing the opossum rug from the face he found that it was a friend. He wept for a long time, then came down and went away ; but he had not gone far before he heard some magpies making a great noise, as though they saw something strange. He turned about to see what it was, and, to his horror and amazement, saw the ghost of the deceased man come down and follow him. He became so terrified that he could not move, and, ad- dressing it, said, ' Why do you frighten me, when I have come to see you, and never did you any harm ? ' It never spoke, but followed him for a considerable distance,."
accepted,Internet Archive,repository_full_text,B,devils in A Colonial Tramp,A Colonial Tramp; Hume Nisbet,1891,2026-06-22,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,sprint-internet-archive-nisb:acolonialtrampt00nisbgoog:devils:007,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian travel narrative exposed through an exact Internet Archive item; accepted rows are limited to explicit supernatural person-form belief passages.,explicit_supernatural_or_anomalous_person_form_agent,devils,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"the cups as she passed ; then came the GIPPSLANI) 201 hash, or stew ; and each one helped himself to sugar, bread, and potatoes, when he saw a chance. It was rough, but hearty, and plenty of it, as there was of customers. One little Frenchman diverted the company very much. He was on the verge of delirium tremens — that fine nervous state before the ' blue devils ' appear, when the wit is so high- strung and electric. He had been on the drink for w 7 eeks, getting more and more spirituelle every day. I saw him that evening at his best and most fantastic, as he tossed down the raw brandy, and jested like a Mephistopheles. Before."
accepted,Internet Archive,repository_full_text,B,devils in A Colonial Tramp,A Colonial Tramp; Hume Nisbet,1891,2026-06-22,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,sprint-internet-archive-nisb:acolonialtrampt00nisbgoog:devils:008,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian travel narrative exposed through an exact Internet Archive item; accepted rows are limited to explicit supernatural person-form belief passages.,explicit_supernatural_or_anomalous_person_form_agent,devils,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"all through the night, the hourly waking up as the warders march along the passages and shout, ' All's well.' What has been taken from him in exchange for this daily providing for the animal ? liberty — the being able to do and go where he likes; hope — the incentive to exertion; love— he must live for ever mateless, with all his natural desires raging like devils within him. I have gone through a good many colonial prisons, and talked to all kinds of criminals, from the gentlemanly forger, swindler, and medical side-walker, down through the fine gradations of bushranger, housebreaker, pickpocket, and sneak kinchin man. Once I."
accepted,Internet Archive,repository_full_text,B,witches in A Colonial Tramp,A Colonial Tramp; Hume Nisbet,1891,2026-06-22,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,sprint-internet-archive-nisb:acolonialtrampt00nisbgoog:witches:009,public_text_item,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,Public-domain Australian travel narrative exposed through an exact Internet Archive item; accepted rows are limited to explicit supernatural person-form belief passages.,explicit_supernatural_or_anomalous_person_form_agent,witches,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"n a Titanic scale. We now come to the highest point on our journey — Victoria, 8,422 feet above sea-level— where we find English trees growing in unity with Australian produce — the chest- nut, oak, hawthorn, elm, poplar, pine, bunya-bunya, &c. We can see from here most extensive views, embracing Mounts Tomato, Clarence, Wilson, and York, with the Fairy and Witches* Glens. We are now going down the great Zig-zag, and upon Lithgow, the mining quarters, where coal, iron, copper, and other minerals are worked, and fine clay, terra cotta, &c, found. Lithgow we do not see much of, as it is almost dark when we get there ; enough,."
accepted,Internet Archive,repository_full_text,B,supernatural in A Colonial Tramp,A Colonial Tramp; Hume Nisbet,1891,2026-06-22,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,https://archive.org/download/acolonialtrampt00nisbgoog/acolonialtrampt00nisbgoog_djvu.txt,sprint-internet-archive-nisb:acolonialtrampt00nisbgoog:supernatural:010,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian travel narrative exposed through an exact Internet Archive item; accepted rows are limited to explicit supernatural person-form belief passages.,explicit_supernatural_or_anomalous_person_form_agent,supernatural,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"s own taste, settling the question by taking the woman himself ; so that the youths have to go and ' look out ' once more for something not so tempting, while the old warrior takes to himself the finest young women he can get, and as many of them as he likes. It is a great mistake to say that the aborigines have no creed ; they are profound believers in the supernatural. 1 Pirumeheeal ' is the good spirit ; a gigantic fellow, who lives above the clouds, very harmless and benevolent. The thunder is his voice, and they always listen to it with pleasure and respect. He sends the rain, which is their greatest boon in this thirsty."
