candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Project Gutenberg Australia,public_domain_ebook,A,ghost in Australian Tales,Australian Tales; Marcus Clarke,1896,2026-06-22,https://gutenberg.net.au/ebooks04/0400711.txt,https://gutenberg.net.au/ebooks04/0400711.txt,sprint-pga-clarke-australian:pga-clarke-australian-tales:ghost:001,public_domain_public_web,public_access_text_available,apparition_account,source_grounded_section_record,"Public-domain Australian tale collection by Marcus Clarke, distributed by Project Gutenberg Australia.",explicit_supernatural_or_anomalous_person_form_agent,ghost,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"and after emptying its pockets, had softly started it down stream again), and was waiting behind his rickety door, rubbing his withered hands gleefully. Young Bartram rode over to Quartzborough to get McCompass, the shire engineer, to look at his new dam. Then the coach stopped running, and then Flash Harry, galloping through the township at night, like the ghost-rider in Brger's ghastly ballad, brought the terrible news:--THE FLOODS WERE UP, AND THE GLIMMERA BANK AND BANK AT THE OLD CROSSING-PLACE. ""It will be here in less than an hour,"" he shouted, under Coppinger's red lamps; ""make for the high ground if you love your lives;""."
accepted,Project Gutenberg Australia,public_domain_ebook,A,ghosts in Australian Tales,Australian Tales; Marcus Clarke,1896,2026-06-22,https://gutenberg.net.au/ebooks04/0400711.txt,https://gutenberg.net.au/ebooks04/0400711.txt,sprint-pga-clarke-australian:pga-clarke-australian-tales:ghosts:002,public_domain_public_web,public_access_text_available,apparition_account,source_grounded_section_record,"Public-domain Australian tale collection by Marcus Clarke, distributed by Project Gutenberg Australia.",explicit_supernatural_or_anomalous_person_form_agent,ghosts,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"nature; the silent and solitary places where a few blasted trees crouch together like withered witches, who, brooding on some deed of blood, have suddenly been stricken horror-stiff. Riding through this nightmare landscape, a whirr of wings, and a harsh cry disturb you from time to time, hideous and mocking laughter peals above and about you, and huge grey ghosts with little red eyes hop away in gigantic but noiseless bounds. You shake your bridle, the mare lengthens her stride, the tree-trunks run into one another, the leaves make overhead a continuous curtain, the earth reels out beneath you like a strip of grey cloth spun by a."
accepted,Project Gutenberg Australia,public_domain_ebook,A,apparition in Australian Tales,Australian Tales; Marcus Clarke,1896,2026-06-22,https://gutenberg.net.au/ebooks04/0400711.txt,https://gutenberg.net.au/ebooks04/0400711.txt,sprint-pga-clarke-australian:pga-clarke-australian-tales:apparition:003,public_domain_public_web,public_access_text_available,spirit_person_narrative,source_grounded_section_record,"Public-domain Australian tale collection by Marcus Clarke, distributed by Project Gutenberg Australia.",explicit_supernatural_or_anomalous_person_form_agent,apparition,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"e men's huts?"" ""Cook in the men's hut! What do you mean?"" returned he with a pitying smile. ""Me no cook. Me Chinee gentleman. Me mightabeen cook if me run away on board ship, and go fool my money in lottery!"" I turned away bewilderingly, and found myself face to face with my old college friend, Jack Reckless. ""Jack Reckless!"" I cried, astonished at this new apparition. ""Why, man, I thought you were----"" ""Don't be afraid of saying it,"" said Jack, cheerily, though a touch of sadness caused his voice to quiver. ""You thought I was in gaol for forging Huxtable's name to a bill. No, thank God, my boy! I might have been, but instead of."
accepted,Project Gutenberg Australia,public_domain_ebook,A,phantom in Australian Tales,Australian Tales; Marcus Clarke,1896,2026-06-22,https://gutenberg.net.au/ebooks04/0400711.txt,https://gutenberg.net.au/ebooks04/0400711.txt,sprint-pga-clarke-australian:pga-clarke-australian-tales:phantom:004,public_domain_public_web,public_access_text_available,spirit_person_narrative,source_grounded_section_record,"Public-domain Australian tale collection by Marcus Clarke, distributed by Project Gutenberg Australia.",explicit_supernatural_or_anomalous_person_form_agent,phantom,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"you like a strip of grey cloth spun by a furiously flying boom, the air strikes your face sharply, the bush, always grey and colourless, parts before you, and closes behind you like a fog. You lose yourself in this prevailing indecision of sound and colour. You become drunk with the wine of the night, and, losing your individuality, sweep onward on a flying phantom in a land of shadows. ""The moon will be up in an hour, my lad,"" said the old man. ""Keep all the left-hand tracks, and you'll pull the long Waterhole,"" and then, whistling to his dog, he turned. ""But where are you going, Wallaby?"" ""O, I'm going up the ranges,"" said."
lead_only,Project Gutenberg Australia,public_domain_ebook,A,haunted in Australian Tales,Australian Tales; Marcus Clarke,1896,2026-06-22,https://gutenberg.net.au/ebooks04/0400711.txt,https://gutenberg.net.au/ebooks04/0400711.txt,sprint-pga-clarke-australian:pga-clarke-australian-tales:haunted:005,public_domain_public_web,public_access_text_available,descriptive_belief_record,context_only,"Public-domain Australian tale collection by Marcus Clarke, distributed by Project Gutenberg Australia.",humanoid_adjacent_context,haunted,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,reviewed_context,public_context_reviewed,moderate,not_accepted,context,"eople. The grotesque and distorted trees, huddled here and there together in the gloom like whispering conspirators. The little open flats encircled by boulders which seem the forgotten altars of some unholy worship. The white, bare, and ghastly gums gleaming momentarily amid the deeper shades of the forest. The lonely pools begirt with shivering reeds, and haunted by the melancholy bittern only. The rifted and draggled creek-bed, which seems violently gouged out of the lacerated earth by some savage convulsion of nature; the silent and solitary places where a few blasted trees crouch together like withered witches, who, brooding."
accepted,Project Gutenberg Australia,public_domain_ebook,A,witch in Australian Tales,Australian Tales; Marcus Clarke,1896,2026-06-22,https://gutenberg.net.au/ebooks04/0400711.txt,https://gutenberg.net.au/ebooks04/0400711.txt,sprint-pga-clarke-australian:pga-clarke-australian-tales:witch:006,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian tale collection by Marcus Clarke, distributed by Project Gutenberg Australia.",explicit_supernatural_or_anomalous_person_form_agent,witch,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"s collar-bone ingloriously fractured. Lucy Sperrin's grey pony kicked Chirrup in the stomach and hurt him badly. 'Serves him right for fossicking round me,' Miss Lucy had said. 'I told him the mare was handy with her heels.' Poor Cooke--Mad Cooke, who wore a silver plate on his head, to the wonder of Bullocktown--must needs bring out his old stock-horse and witch the world with noble horsemanship. 'Heigh, boys! Heigh, boys!' he would cry while at full gallop. 'There's none of ye can go up the hills like Ballie!'And indeed no one attempted to do so, all standing aghast at the feats Ballie performed upon the side of the steep hill."
accepted,Project Gutenberg Australia,public_domain_ebook,A,ghosts in Australian Tales,Australian Tales; Marcus Clarke,1896,2026-06-22,https://gutenberg.net.au/ebooks04/0400711.txt,https://gutenberg.net.au/ebooks04/0400711.txt,sprint-pga-clarke-australian:pga-clarke-australian-tales:ghosts:007,public_domain_public_web,public_access_text_available,apparition_account,source_grounded_section_record,"Public-domain Australian tale collection by Marcus Clarke, distributed by Project Gutenberg Australia.",explicit_supernatural_or_anomalous_person_form_agent,ghosts,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"ming momentarily amid the deeper shades of the forest. The lonely pools begirt with shivering reeds, and haunted by the melancholy bittern only. The rifted and draggled creek-bed, which seems violently gouged out of the lacerated earth by some savage convulsion of nature; the silent and solitary places where a few blasted trees crouch together like withered witches, who, brooding on some deed of blood, have suddenly been stricken horror-stiff. Riding through this nightmare landscape, a whirr of wings, and a harsh cry disturb you from time to time, hideous and mocking laughter peals above and about you, and huge grey ghosts with."
accepted,Project Gutenberg Australia,public_domain_ebook,A,giant in Australian Tales,Australian Tales; Marcus Clarke,1896,2026-06-22,https://gutenberg.net.au/ebooks04/0400711.txt,https://gutenberg.net.au/ebooks04/0400711.txt,sprint-pga-clarke-australian:pga-clarke-australian-tales:giant:008,public_domain_public_web,public_access_text_available,giant_or_ogre_narrative,source_grounded_section_record,"Public-domain Australian tale collection by Marcus Clarke, distributed by Project Gutenberg Australia.",explicit_supernatural_or_anomalous_person_form_agent,giant,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"etter abstain from reading this story, unless they choose to risk a nervous fever. The romance is full of power. The writer illuminates the lowest depths of human nature in a manner which holds us spell-bound, despite ourselves. Marcus Clarke is a master of psychology, and his descriptions of nature are as effective as his style is pure."" And from no less a giant in literature than Oliver Wendell Holmes, of Boston, America, the following complimentary letter was received by Clarke in acknowledgment of a copy of the novel sent to the author of the Autocrat of the Breakfast Table:--""The pictures of life under the dreadful conditions."
accepted,Project Gutenberg Australia,public_domain_ebook,A,giant in Australian Tales,Australian Tales; Marcus Clarke,1896,2026-06-22,https://gutenberg.net.au/ebooks04/0400711.txt,https://gutenberg.net.au/ebooks04/0400711.txt,sprint-pga-clarke-australian:pga-clarke-australian-tales:giant:009,public_domain_public_web,public_access_text_available,giant_or_ogre_narrative,source_grounded_section_record,"Public-domain Australian tale collection by Marcus Clarke, distributed by Project Gutenberg Australia.",explicit_supernatural_or_anomalous_person_form_agent,giant,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"other countries. Europe is the home of knightly song, of bright deeds--and clear morning thought. Asia sinks beneath the weighty recollections of her past magnificence, as the Suttee sinks jewel-burdened upon the corpse of dread grandeur, destructive even in its death. America swiftly hurries on her way, rapid, glittering, insatiable even as one of her own giant waterfalls. From the jungles of Africa, and the creeper-tangled groves of the Islands of the South, arise, from the glowing hearts of a thousand flowers, heavy and intoxicating odours, the Upas-poison, which dwells in barbaric sensuality. In Australia alone is to be found."
accepted,Project Gutenberg Australia,public_domain_ebook,A,giant in Australian Tales,Australian Tales; Marcus Clarke,1896,2026-06-22,https://gutenberg.net.au/ebooks04/0400711.txt,https://gutenberg.net.au/ebooks04/0400711.txt,sprint-pga-clarke-australian:pga-clarke-australian-tales:giant:010,public_domain_public_web,public_access_text_available,giant_or_ogre_narrative,source_grounded_section_record,"Public-domain Australian tale collection by Marcus Clarke, distributed by Project Gutenberg Australia.",explicit_supernatural_or_anomalous_person_form_agent,giant,Australia,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"ogether--quietly without any barking you know--when father and son jogged homewards through the warm, still air, and the trampling hoofs of the sheep sent up a fragrance from the crushed herbage round the folding ground, Pretty Dick would repeat long stories that his mother had told him, about ""Valentine and Orsen,"" and ""Beauty and the Beast,"" and ""Jack the Giant Killer;"" for Pretty Dick's mother had been maid in the rector's family, in the Kentish village at home, and was a little above Pretty Dick's father, who was only a better sort of farm-labourer. But they were all three very, happy now in their adopted country. They were."
