candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Project Gutenberg,public_domain_ebook,A,ghost in In the Roaring Fifties,In the Roaring Fifties; Edward Dyson,1906 public-domain Australian fiction; Project Gutenberg transcription,2026-06-22,https://www.gutenberg.org/ebooks/17045.txt.utf-8,https://www.gutenberg.org/ebooks/17045.txt.utf-8,sprint-project-gutenberg-dys:gutenberg-17045-dyson-roarin:ghost:a32025d9f54a4ff9,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian goldfields novel by Edward Dyson; accepted rows are constrained to substantive supernatural, apparition, ghost, anomalous person-form, or discourse passages.",explicit_supernatural_or_anomalous_person_form_agent,ghost,Victoria,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"www.gutenberg.org/ebooks/17045 Credits: Produced by Peter O'Connell *** START OF THE PROJECT GUTENBERG EBOOK IN THE ROARING FIFTIES *** Produced by Peter O'Connell IN THE ROARING FIFTIES By EDWARD DYSON 1906 I THE night was bright and cool, and the old East Indiaman moved slowly on the heaving bosom of the ocean, under a strong full moon, like a wind-blown ghost to whose wanderings there had been no beginning and could be no end--so small, so helpless she seemed between the two infinities of sea and sky. There was no cloud to break the blue profundity of heaven, no line of horizon, no diversity in the long lazy roll of the green."
accepted,Project Gutenberg,public_domain_ebook,A,ghost in In the Roaring Fifties,In the Roaring Fifties; Edward Dyson,1906 public-domain Australian fiction; Project Gutenberg transcription,2026-06-22,https://www.gutenberg.org/ebooks/17045.txt.utf-8,https://www.gutenberg.org/ebooks/17045.txt.utf-8,sprint-project-gutenberg-dys:gutenberg-17045-dyson-roarin:ghost:de47f0292da4e108,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian goldfields novel by Edward Dyson; accepted rows are constrained to substantive supernatural, apparition, ghost, anomalous person-form, or discourse passages.",explicit_supernatural_or_anomalous_person_form_agent,ghost,Victoria,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"n interminable ocean. The great crestless waves rose and fell with pulsing monotony, round, smooth and intolerably silent. It was as if the undulating sea had been stricken motionless, and the ship was damned to the Sisyphean task of surmounting one mysterious hill that eternally reappeared under her prow, and beyond which she might never pass. Suddenly the ghost faltered on the crest of a wave, fluttering her rags in the moonlight, possessed with a vague indecision. Shouting and the noise of hurrying feet broke the silence. There was a startling upheaval of men; they swarmed in the rigging, and faces were piled above the larboard."
accepted,Project Gutenberg,public_domain_ebook,A,ghosts in In the Roaring Fifties,In the Roaring Fifties; Edward Dyson,1906 public-domain Australian fiction; Project Gutenberg transcription,2026-06-22,https://www.gutenberg.org/ebooks/17045.txt.utf-8,https://www.gutenberg.org/ebooks/17045.txt.utf-8,sprint-project-gutenberg-dys:gutenberg-17045-dyson-roarin:ghosts:a7c06fa5626004fe,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian goldfields novel by Edward Dyson; accepted rows are constrained to substantive supernatural, apparition, ghost, anomalous person-form, or discourse passages.",explicit_supernatural_or_anomalous_person_form_agent,ghosts,Victoria,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"n in the forward movement of his swing, glared open-mouthed, speechless; he felt his stiff hair stirring strangely under his hat, a pronounced uneasiness moved in the boat. Only one woman had fallen from the ship, and here, out in the deep trough of the lone sea, they found two creatures, and one laughed eerily. Sailormen believed in many awesome mysteries: ghosts and goblins peopled the ocean like a vast graveyard. The boat held off, and no man spoke, but Ryan shivered under his skin, and fumbled his memory for the name of a potent saint. 'Ahoy, there!' cried the young man impatiently; but winning no response, he swam slowly to."
accepted,Project Gutenberg,public_domain_ebook,A,ghost in In the Roaring Fifties,In the Roaring Fifties; Edward Dyson,1906 public-domain Australian fiction; Project Gutenberg transcription,2026-06-22,https://www.gutenberg.org/ebooks/17045.txt.utf-8,https://www.gutenberg.org/ebooks/17045.txt.utf-8,sprint-project-gutenberg-dys:gutenberg-17045-dyson-roarin:ghost:2a6fbec39dee6fca,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian goldfields novel by Edward Dyson; accepted rows are constrained to substantive supernatural, apparition, ghost, anomalous person-form, or discourse passages.",explicit_supernatural_or_anomalous_person_form_agent,ghost,Victoria,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"ed upon to do battle while he remained on Diamond Gully. The reputation he had won was a guarantee against further molestation and Aurora's open and unabashed devotion prevented any approach to serious rivalry. The girl still preserved her manner of a boon companion in the presence of Mrs. Ben Kyley's customers, but no man of them was given occasion for the ghost of a hope of supplanting Jim in her tempestuous heart. She now assumed towards Done an attitude of happy submission; the quizzical insistence on his boyishness was abandoned: she acknowledged her master with an exuberant rapture that had not the faintest suspicion of."
accepted,Project Gutenberg,public_domain_ebook,A,ghost in In the Roaring Fifties,In the Roaring Fifties; Edward Dyson,1906 public-domain Australian fiction; Project Gutenberg transcription,2026-06-22,https://www.gutenberg.org/ebooks/17045.txt.utf-8,https://www.gutenberg.org/ebooks/17045.txt.utf-8,sprint-project-gutenberg-dys:gutenberg-17045-dyson-roarin:ghost:e101114c778fd9f5,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian goldfields novel by Edward Dyson; accepted rows are constrained to substantive supernatural, apparition, ghost, anomalous person-form, or discourse passages.",explicit_supernatural_or_anomalous_person_form_agent,ghost,Victoria,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"ious. In her innocence she was deeply stirred, and yet glad at heart. She was silent for some minutes, and then said: 'Do you know, I think you sometimes underestimate Mrs. Macdougal's sensibilities.' 'In what manner?' 'I think you hurt her without being conscious of it. Her sense of humour is not keen, and I know she is pained when you least suspect it.' A ghost of a smile stirred about Ryder's mouth. 'I would not pain her for the world,' he said. 'She is a kindly little woman, and her hospitality is charming; but you must admit she is droll. What are my faults?' 'Forgive me if I seem to be treating you as a pupil.' 'There is no."
accepted,Project Gutenberg,public_domain_ebook,A,devil in In the Roaring Fifties,In the Roaring Fifties; Edward Dyson,1906 public-domain Australian fiction; Project Gutenberg transcription,2026-06-22,https://www.gutenberg.org/ebooks/17045.txt.utf-8,https://www.gutenberg.org/ebooks/17045.txt.utf-8,sprint-project-gutenberg-dys:gutenberg-17045-dyson-roarin:devil:5649be29fe109e30,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian goldfields novel by Edward Dyson; accepted rows are constrained to substantive supernatural, apparition, ghost, anomalous person-form, or discourse passages.",explicit_supernatural_or_anomalous_person_form_agent,devil,Victoria,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"y, with some contempt. 'Are you thinking the poor girl wanted thanks from you?' 'It is strange that she should leave in this way,' answered Done impatiently. 'There's nothing strange in it, man; it's just natural. You never understood how much that girl cared for you, Jimmy. If you did, perhaps you would know what it meant for her to be working herself to a ghost over your bed there while you babbled of love to another woman.' 'I did?' 'Did you? Night and day. It was Lucy, Lucy, Lucy--always Lucy. Lucy with the brown hair and the beautiful eyes--Lucy the pure, and sweet, and good. Never a word of Joy--never the smallest word of."
rejected,Project Gutenberg,public_domain_ebook,A,haunted in In the Roaring Fifties,In the Roaring Fifties; Edward Dyson,1906 public-domain Australian fiction; Project Gutenberg transcription,2026-06-22,https://www.gutenberg.org/ebooks/17045.txt.utf-8,https://www.gutenberg.org/ebooks/17045.txt.utf-8,sprint-project-gutenberg-dys:gutenberg-17045-dyson-roarin:haunted:ff1ab8dd906f726c,public_domain_public_web,public_access_text_available,descriptive_belief_record,context_only,"Public-domain Australian goldfields novel by Edward Dyson; accepted rows are constrained to substantive supernatural, apparition, ghost, anomalous person-form, or discourse passages.",insufficient_person_form_evidence,haunted,Victoria,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,reviewed_context,public_fiction_reviewed,low,not_accepted,rejected,"ich always merged itself into his great grievance. He lived alone. At his work--which he obtained readily, for he was strong and efficient, and gave double value for his wages--he had no mates. Girls he had seen grow up from babyhood developed into beautiful creatures, with miraculous eyes, round limbs, and cheeks so red, so tender, that their soft ripeness haunted his dreams. Under cover and in secret he would watch them pass or at play with a throbbing heart and a passionate hunger for companionship, and discover himself doing this with something of a shock, ashamed of his interest in his enemies, resentful of all emotions that."
rejected,Project Gutenberg,public_domain_ebook,A,haunted in In the Roaring Fifties,In the Roaring Fifties; Edward Dyson,1906 public-domain Australian fiction; Project Gutenberg transcription,2026-06-22,https://www.gutenberg.org/ebooks/17045.txt.utf-8,https://www.gutenberg.org/ebooks/17045.txt.utf-8,sprint-project-gutenberg-dys:gutenberg-17045-dyson-roarin:haunted:d0d15218dee99b0e,public_domain_public_web,public_access_text_available,descriptive_belief_record,context_only,"Public-domain Australian goldfields novel by Edward Dyson; accepted rows are constrained to substantive supernatural, apparition, ghost, anomalous person-form, or discourse passages.",insufficient_person_form_evidence,haunted,Victoria,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,reviewed_context,public_fiction_reviewed,low,not_accepted,rejected,"d his familiar pursuits. His weakness clung to him, and he was subject to pains in the head. His missed Mike more than ever now, and permitted the idea that he had blasted Aurora's happiness to worry him a good deal. He remembered the blithe heartiness of the girl in the early days of their acquaintance, and the image of the pale, worn face he had last seen haunted him with an abiding reproach. He could not enjoy the life, the scenes, and the companionship that had delighted him, and believed the capacity would never come back to him. He had been on Blanket Flat less than a fortnight when one morning Harry thrust his head into the."
accepted,Project Gutenberg,public_domain_ebook,A,spirit in In the Roaring Fifties,In the Roaring Fifties; Edward Dyson,1906 public-domain Australian fiction; Project Gutenberg transcription,2026-06-22,https://www.gutenberg.org/ebooks/17045.txt.utf-8,https://www.gutenberg.org/ebooks/17045.txt.utf-8,sprint-project-gutenberg-dys:gutenberg-17045-dyson-roarin:spirit:7958fd828e6818f1,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian goldfields novel by Edward Dyson; accepted rows are constrained to substantive supernatural, apparition, ghost, anomalous person-form, or discourse passages.",explicit_supernatural_or_anomalous_person_form_agent,spirit,Victoria,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"rues our amiable intentions, and imputes selfish motives to the most disinterested missioner. She found herself quite unable to work up a proper feeling of indignation against Done. Her training impelled her to stigmatize his conduct as ungentlemanly, ungenerous, and absolutely shocking. The words of condemnation came readily enough, but there was no proper spirit of maidenly pride behind them. On the contrary, deep down in her breast there glowed a sense of triumph, an abiding joy, of which she made some effort to be ashamed. Her avoidance of the young man on the day following his misdemeanour was a pathetic bit of dissimulation,."
accepted,Project Gutenberg,public_domain_ebook,A,spirit in In the Roaring Fifties,In the Roaring Fifties; Edward Dyson,1906 public-domain Australian fiction; Project Gutenberg transcription,2026-06-22,https://www.gutenberg.org/ebooks/17045.txt.utf-8,https://www.gutenberg.org/ebooks/17045.txt.utf-8,sprint-project-gutenberg-dys:gutenberg-17045-dyson-roarin:spirit:1dfea13bb847b490,public_domain_public_web,public_access_text_available,retelling_or_adaptation,source_grounded_section_record,"Public-domain Australian goldfields novel by Edward Dyson; accepted rows are constrained to substantive supernatural, apparition, ghost, anomalous person-form, or discourse passages.",explicit_supernatural_or_anomalous_person_form_agent,spirit,Victoria,narrative_setting,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_fiction_reviewed,low,accepted,,"e thought of the chagrin of the cabins, deprived of a satisfactory climax to their little romance, filled her with gravest apprehension. Her strong belief was that Done and Lucy owed it as a sacred duty to the eternal verities, as set forth in popular fiction, to marry. If they failed to conform, they gave people good grounds for a grievance. Lucy Woodrow's spirit was up in arms. The girl who had feared nothing so much as to find herself at variance with her fellows, and had believed the affection and the goodwill of those about her to be the first essentials to happiness, felt no weakness, no lack of self-reliance, now that she."
