candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Internet Archive,repository_full_text,B,spirit in More Australian Legendary Tales,More Australian Legendary Tales; K. Langloh Parker,1898 public-domain folklore collection exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,sprint-internet-archive-more:moreaustralianl00parkgoog:spirit:001,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian folklore collection from K. Langloh Parker; section records require substantive supernatural/person-form narrative evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,New South Wales,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"rpse-feeding is recent. In Mrs. Parker's book Byamee is implored to receive the soul of Eerin. '* For Eerin was faithful on earth, faithful to the laws you left us."" The mourners ** let their blood drop into his grave,"" but such a sacrifice is not necessarily more than a tribute of affectionate regret. It need not imply feeding, while of later sacrifices to spirits I have vainly looked for a trace. Now, by a mythical inconsistency, the spirit of Eerin (or one of his spirits, perhaps his doowee) dwells in a grey owl. Here, then, is a kind of theism, and beside it only the germs of an animism which is not yet a religion of service."
accepted,Internet Archive,repository_full_text,B,spirits in More Australian Legendary Tales,More Australian Legendary Tales; K. Langloh Parker,1898 public-domain folklore collection exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,sprint-internet-archive-more:moreaustralianl00parkgoog:spirits:002,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian folklore collection from K. Langloh Parker; section records require substantive supernatural/person-form narrative evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirits,New South Wales,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"r 5 of the wood. Again they struggled on through the scrub to another plain. *' There it is ! I told you so ! There is the water."" And looking ahead they again saw a sheet of water. Again their hopes were raised, and though the sun beat fiercely on them they marched, only to be again disap- pointed. *'Let us go back,"" they said. ""This is the country of evil spirits. We see water, and when we come where we have seen it there is but dry earth. Let us go back."" "" Back to Beereeun, who would kill you ? "" "" Better to die from the blow of a boondee in your own country than of thirst in a land of devils. We will go back."" ** Not so. Not."
accepted,Internet Archive,repository_full_text,B,spirit in More Australian Legendary Tales,More Australian Legendary Tales; K. Langloh Parker,1898 public-domain folklore collection exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,sprint-internet-archive-more:moreaustralianl00parkgoog:spirit:003,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian folklore collection from K. Langloh Parker; section records require substantive supernatural/person-form narrative evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,New South Wales,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"lai looked across the wide river and saw the nyunnoos Weedah had made. They saw him running in and out of them as if he were playing a game, not thinking of them at all. Strange nyunnoos they were too having both ends open. Seeing where they were looking, Beereeun said : "" Wee- dah is womba, deaf. I stole his doowee while he slept and put in its place a mad spirit. He knows naught of you now. He cares naught for you. It is so with those who look too long at the Eer-dheer, or mirage. He will trouble me no more, nor you. Why look at him ? "" But the Bullai Bullai could not take their eyes from Weedah, so strangely he went on,."
accepted,Internet Archive,repository_full_text,B,spirit in More Australian Legendary Tales,More Australian Legendary Tales; K. Langloh Parker,1898 public-domain folklore collection exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,sprint-internet-archive-more:moreaustralianl00parkgoog:spirit:004,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian folklore collection from K. Langloh Parker; section records require substantive supernatural/person-form narrative evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,New South Wales,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"hich lumps have been on the feet of her kind ever since, and their legs have been bare and hard up to the knee joint. Now Bohrah the kangaroo was really a great wirreenun. While it was still quite dark he said : ""We will sleep here, and I will hunt the dark away while we rest."" They laid down. As soon as Bohrah was asleep, he sent his MuUee Mullee, or dream spirit, out from his body to gather up the darkness and roll it away to the westward. Having done so back came the Mullee Mullee to the body of Bohrah, who now woke up and saw what his spirit had done. He turned to Dine wan, whom he saw had slept with one eye and one ear open."
accepted,Internet Archive,repository_full_text,B,spirit in More Australian Legendary Tales,More Australian Legendary Tales; K. Langloh Parker,1898 public-domain folklore collection exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,sprint-internet-archive-more:moreaustralianl00parkgoog:spirit:005,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian folklore collection from K. Langloh Parker; section records require substantive supernatural/person-form narrative evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,New South Wales,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"still quite dark he said : ""We will sleep here, and I will hunt the dark away while we rest."" They laid down. As soon as Bohrah was asleep, he sent his MuUee Mullee, or dream spirit, out from his body to gather up the darkness and roll it away to the westward. Having done so back came the Mullee Mullee to the body of Bohrah, who now woke up and saw what his spirit had done. He turned to Dine wan, whom he saw had slept with one eye and one ear open that she might see what he would do, and said : ** My Mullee Mullee has rolled the night from us. The darkness is no more. It is rolled away for ever from me. I and my people, from this."
lead_only,Internet Archive,repository_full_text,B,spirits in More Australian Legendary Tales,More Australian Legendary Tales; K. Langloh Parker,1898 public-domain folklore collection exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,sprint-internet-archive-more:moreaustralianl00parkgoog:spirits:006,public_text_item,public_access_text_available,descriptive_belief_record,context_only,Public-domain Australian folklore collection from K. Langloh Parker; section records require substantive supernatural/person-form narrative evidence.,humanoid_adjacent_context,spirits,New South Wales,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,reviewed_context,public_context_reviewed,moderate,not_accepted,context,"lee Mullees in the whirlwinds to the Daens as they swirled through the camp after the enemy. The Wurrawilberoo carrying young Bralgah was ahead. The other, finding the whirlwinds were gaining on them, dropped his burden, Bralgah Numbardee, and ran on. Just in front of them were two huge balah trees. Feeling that the whirlwinds, which they now knew must have spirits in them, were already lifting them from their feet, the Wurrawilberoo clung to the balah trees, the one who had captured young Bralgah still holding her with one arm while he grasped the tree with the other. '* Let the girl go,"" shouted the other to him. "" Save."
accepted,Internet Archive,repository_full_text,B,spirits in More Australian Legendary Tales,More Australian Legendary Tales; K. Langloh Parker,1898 public-domain folklore collection exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,sprint-internet-archive-more:moreaustralianl00parkgoog:spirits:007,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian folklore collection from K. Langloh Parker; section records require substantive supernatural/person-form narrative evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirits,New South Wales,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"zed from it one of the huge eggs in it, which she threw with all her force up to the sky. There it broke on a heap of firewood, which burst into a flame as the yellow yolk spilt all over it, which flame lit up the world below, to the astonishment of every- thing on it. They had only been used to the semi-darkn6ss, and were dazzled by such brightness. A good spirit who lived in the sky saw how bright and beautiful the earth looked when lit up by this blaze. He thought it would be a good thing to make a fire every day, which from that time he has done. All night he and his attendant spirits collect wood, and heap it up. When the."
accepted,Internet Archive,repository_full_text,B,spirits in More Australian Legendary Tales,More Australian Legendary Tales; K. Langloh Parker,1898 public-domain folklore collection exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,sprint-internet-archive-more:moreaustralianl00parkgoog:spirits:008,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian folklore collection from K. Langloh Parker; section records require substantive supernatural/person-form narrative evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirits,New South Wales,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"o the astonishment of every- thing on it. They had only been used to the semi-darkn6ss, and were dazzled by such brightness. A good spirit who lived in the sky saw how bright and beautiful the earth looked when lit up by this blaze. He thought it would be a good thing to make a fire every day, which from that time he has done. All night he and his attendant spirits collect wood, and heap it up. When the heap is nearly big enough they send out the morning star to warn those on earth that the fire will soon be lit. How the Sun was Made 29 They, however, found this warning was not sufficient, for those who slept saw it not. Then they."
accepted,Internet Archive,repository_full_text,B,giant in More Australian Legendary Tales,More Australian Legendary Tales; K. Langloh Parker,1898 public-domain folklore collection exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,sprint-internet-archive-more:moreaustralianl00parkgoog:giant:009,public_text_item,public_access_text_available,giant_or_ogre_narrative,source_grounded_section_record,Public-domain Australian folklore collection from K. Langloh Parker; section records require substantive supernatural/person-form narrative evidence.,explicit_supernatural_or_anomalous_person_form_agent,giant,New South Wales,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"then kill and eat them. At last the Daens found out what he was doing. They were very angry, and determined to punish him. ""We will kill or cripple him,"" they said, **so that he, giant though he be, shall be powerless against our people."" A mob of them went and surrounded his camp. He was lying asleep, face downwards, as he did not wish his doowee or dream spirit to leave him, as it might have done had he slept on his back, with his mouth exposed. In his sleep even he seemed to hear a rustling iA the leaves, but suspected no evil, saying drowsily to himself : "" it is but the Bullah BuUah, or butterflies, fluttering round."" Then he."
accepted,Internet Archive,repository_full_text,B,Byamee in More Australian Legendary Tales,More Australian Legendary Tales; K. Langloh Parker,1898 public-domain folklore collection exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,https://archive.org/download/moreaustralianl00parkgoog/moreaustralianl00parkgoog_djvu.txt,sprint-internet-archive-more:moreaustralianl00parkgoog:byamee:010,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian folklore collection from K. Langloh Parker; section records require substantive supernatural/person-form narrative evidence.,explicit_supernatural_or_anomalous_person_form_agent,Byamee,New South Wales,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"; what he had seen became a tradition in his tribe. He had broken the law of Byamee by leaving his own hunting ground, so was not allowed to live long after his return. But yet so famous was he from his far journeyings that when he died, followed by a terrific crash, a huge meteor shot across the sky, thereby telling the tribes for miles round that a great spirit had passed from the earth. From generation to generation was told the story of Wuminnah's journey and the strange water he had seen, 54 More Australian Talcs kTii Sit zbt leg corrohsoptes were seen fiioc shells he had brought. Az h:zigib *Jbt Wmadah re89 tlotfcee ot ""."
