candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
rejected,Internet Archive,repository_full_text,B,"spirits in The Aborigines of Victoria, volume 1","The Aborigines of Victoria, volume 1; R. Brough Smyth",1878 public-domain Victorian and Tasmanian ethnographic source exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,sprint-internet-archive-smyt:aboriginesofvict01smyt:spirits:220f7e5dad85c764,public_text_item,public_access_text_available,descriptive_belief_record,context_only,Public-domain Victorian and Tasmanian ethnographic source; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,insufficient_person_form_evidence,spirits,Victoria and Tasmania,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,reviewed_context,public_context_reviewed,moderate,not_accepted,rejected,"He is courageous when opposed to a mortal enemy, and timid in the dark- ness of night when he believes that wicked spirits are abroad ; he is cruel to his foes, and kind to his friends ; he will look upon infanticide without repugnance, but he is affectionate iu the treatment of the children that are permitted to live ; he will half-murder a girl in order to possess her as a wife, but he will protect her and love her when she resigns herself to his will. He is a murderer when his tribe requires a murder to be done ; but in a fight he is generous, and takes no unfair advantage. He is affectionate towards his relatives, and."
accepted,Internet Archive,repository_full_text,B,"spirits in The Aborigines of Victoria, volume 1","The Aborigines of Victoria, volume 1; R. Brough Smyth",1878 public-domain Victorian and Tasmanian ethnographic source exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,sprint-internet-archive-smyt:aboriginesofvict01smyt:spirits:11ed822d8a3d7842,public_text_item,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Victorian and Tasmanian ethnographic source; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirits,Victoria and Tasmania,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"The natives believe that the spirits or ghosts of the dead remain for at least a little time near the, spots that they loved when living, and it is to satisfy and appease the shades and ghosts that, when a warrior dies, they murder some of the people of a neighbouring tribe."
accepted,Internet Archive,repository_full_text,B,"ghost in The Aborigines of Victoria, volume 1","The Aborigines of Victoria, volume 1; R. Brough Smyth",1878 public-domain Victorian and Tasmanian ethnographic source exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,sprint-internet-archive-smyt:aboriginesofvict01smyt:ghost:838efd60b36b4237,public_text_item,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Victorian and Tasmanian ethnographic source; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,ghost,Victoria and Tasmania,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"K blood were not shed, the ghost of the departed would haunt them, and perhaps injure them."
accepted,Internet Archive,repository_full_text,B,"ghosts in The Aborigines of Victoria, volume 1","The Aborigines of Victoria, volume 1; R. Brough Smyth",1878 public-domain Victorian and Tasmanian ethnographic source exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,sprint-internet-archive-smyt:aboriginesofvict01smyt:ghosts:405e64cd5a546f52,public_text_item,public_access_text_available,apparition_account,source_grounded_section_record,Public-domain Victorian and Tasmanian ethnographic source; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,ghosts,Victoria and Tasmania,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"They believe that the ghosts depart and find rest in regions either towards the setting sun, or in the east, where he rises."
lead_only,Internet Archive,repository_full_text,B,"spirits in The Aborigines of Victoria, volume 1","The Aborigines of Victoria, volume 1; R. Brough Smyth",1878 public-domain Victorian and Tasmanian ethnographic source exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,sprint-internet-archive-smyt:aboriginesofvict01smyt:spirits:263301436b25ee43,public_text_item,public_access_text_available,descriptive_belief_record,context_only,Public-domain Victorian and Tasmanian ethnographic source; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,humanoid_adjacent_context,spirits,Victoria and Tasmania,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,reviewed_context,public_context_reviewed,moderate,not_accepted,context,"Stanbridge says that the heaven of the Murray people is towards the setting sun ; Wilhelmi says tliat the head of the corpse was placed at the west end of the grave, because the people of Port Lincoln believe that the departed spirits reside in an island situated eastward ; Oxley found on the Darling a body laid with the head to the eastward ; and Grey says that the face in West Australia is turned towards the east."
accepted,Internet Archive,repository_full_text,B,"spirit in The Aborigines of Victoria, volume 1","The Aborigines of Victoria, volume 1; R. Brough Smyth",1878 public-domain Victorian and Tasmanian ethnographic source exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,sprint-internet-archive-smyt:aboriginesofvict01smyt:spirit:7e5c3110dbdde608,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Victorian and Tasmanian ethnographic source; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,Victoria and Tasmania,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"Those who have seen a wonguim thrown by a native accustomed to its use need not be told that the statements published from time to time in the scientific journals in Europe are founded on imperfect information, or dictated in an un- philosophical spirit by a too great desire to i)rove that the Dravidian races of the Indian Peninsula and the ancient Egyptians belong to the Australoid stock, and that the boomerang was known to the Egj-ptiaus. All the facts that have been gathered up to the present time support Professor Huxley's theory of the origination of the Australian race, or at any rate tend to sujiport it, and it is a pity."
accepted,Internet Archive,repository_full_text,B,"devil in The Aborigines of Victoria, volume 1","The Aborigines of Victoria, volume 1; R. Brough Smyth",1878 public-domain Victorian and Tasmanian ethnographic source exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,sprint-internet-archive-smyt:aboriginesofvict01smyt:devil:3cf0086d1028e6e4,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Victorian and Tasmanian ethnographic source; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,devil,Victoria and Tasmania,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"The bones of the Tasmanian devil (^Sarcophilus i/rsinus), the great kangaroo {Macropus Titan), the Thjlacoleo, the Nototherium, and the Diprotodon, and those of a reptile {Megalania prisca) allied to the lace lizards of Australia, are found abundantly in mud flats in various parts of Australia ; but nothing has been discovered to show that tlie continent was inhabited by man when these now well-preserved relics were clothed with flesh, and the animals were feeding on the plains and in the streams which were as well fitted then as now, as shown by the fruits and seeds that have been discovered, to afi""ord the means of support to a."
accepted,Internet Archive,repository_full_text,B,"spirit in The Aborigines of Victoria, volume 1","The Aborigines of Victoria, volume 1; R. Brough Smyth",1878 public-domain Victorian and Tasmanian ethnographic source exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,sprint-internet-archive-smyt:aboriginesofvict01smyt:spirit:40deb7bd7fd7d065,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Victorian and Tasmanian ethnographic source; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,Victoria and Tasmania,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"The words Nau-Kai, a canoe ; Marat, spirit ; Joen, a man; Cobra, the head; Tiora, land; Mora>/, great; Gnara, a knot; Kir- adjee, a doctor; Urt/, ear; Yain, chin; Oura, our; Yai, yes; Yair, air; Keh-le-de, brightness ; Kerreem, a shield ; Urdin, straight ; Manya, the hand ; Yarra, flowing; Ma/i, to strike; Pilar, a spear; Kalama, a reed; Pidna, the foot; Yun, soon; Kurrin, enquiriag; Poke, a small hole; Wirangi, bad; 2Iultufvarri?i, many or much ; Trippin, drenching ; Tkrokkun, putting ; El, will ; Trentin, tearing ; Grawun, burying in the earth; and Kinha, laugh — are similar to words with similar meanings in the languages of the."
accepted,Internet Archive,repository_full_text,B,"spirit in The Aborigines of Victoria, volume 1","The Aborigines of Victoria, volume 1; R. Brough Smyth",1878 public-domain Victorian and Tasmanian ethnographic source exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,sprint-internet-archive-smyt:aboriginesofvict01smyt:spirit:16975d8e0735f135,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Victorian and Tasmanian ethnographic source; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,Victoria and Tasmania,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"CoUins's statements respecting the natives are accurate. ""They are,"" he remarks in one part of his work, ""revengeful, jealous, courageous, and cunning. Their stealing on each other in the night for the purjiose of murder must not be imputed to them as a want of bravery, but as the effect of the diabolical spirit"
accepted,Internet Archive,repository_full_text,B,"spirits in The Aborigines of Victoria, volume 1","The Aborigines of Victoria, volume 1; R. Brough Smyth",1878 public-domain Victorian and Tasmanian ethnographic source exposed through an exact Internet Archive item,2026-06-22,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,https://archive.org/download/aboriginesofvict01smyt/aboriginesofvict01smyt_hocr_searchtext.txt.gz,sprint-internet-archive-smyt:aboriginesofvict01smyt:spirits:711bf3cdd4e59af1,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Victorian and Tasmanian ethnographic source; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirits,Victoria and Tasmania,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"Tliey are superstitious, they are credulous, and they willingly surrender their reason and ignore their instincts when influenced by their doctors and dreamers. They believe in the existence of evil spirits, and are afraid to leave their camps in the night ; but when they are impelled to avenge an injury, neither the dread of evil spirits nor the fear of darkness will hinder them."
