candidate_status,source_name,source_type,source_tier,title,publication_or_organisation,publication_date_text,access_date,url,canonical_url,external_id,publicness_status,rights_access_status,narrative_type,secondary_role,australian_relation,humanoid_basis,source_label,location_text,location_role,latitude,longitude,location_precision,geocode_source,geocode_verification_status,coordinate_evidence_note,duplicate_check_status,quality_class,ethics_review_status,cultural_sensitivity,acceptance_decision,rejection_reason,evidence_summary
accepted,Internet Archive,repository_full_text,B,spirits in Australian Legends,Australian Legends; C. W. Peck,1925,2026-06-22,https://archive.org/download/australian-legends/australian-legends_djvu.txt,https://archive.org/download/australian-legends/australian-legends_djvu.txt,sprint-internet-archive-peck:australian-legends:spirits:7aa17c462e10133f,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian legend collection; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirits,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"d that when the next great man died--the chief or the doctor or the rainmaker or the clergyman-his best stone axe be buried with him. Then a sorcerer came forward and proclaimed that he would undertake to go to the river and secure the passage of it for all time. He selected some other brave people, and by the aid of his sorcery he set out on the way of the spirits. He soon reached the forest, but found it full of the ""little men of the bush."" They barred the way of the party. Try as they would, no passage through the ranks of the ""little men"" could be made. So then they turned and followed the flow of the river, and that way no."
accepted,Internet Archive,repository_full_text,B,spirits in Australian Legends,Australian Legends; C. W. Peck,1925,2026-06-22,https://archive.org/download/australian-legends/australian-legends_djvu.txt,https://archive.org/download/australian-legends/australian-legends_djvu.txt,sprint-internet-archive-peck:australian-legends:spirits:f8c2dec08a299047,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian legend collection; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirits,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"sh."" They barred the way of the party. Try as they would, no passage through the ranks of the ""little men"" could be made. So then they turned and followed the flow of the river, and that way no opposition was offered. They came to a tree even higher than those at the crossing-place, and up that the great sorcerer climbed. From the top of it he could see the spirits stepping on to tail of the tortoise and some being shaken off. Many of these were taken by the claws of the hind feet of the beast and afterwards eaten. Others were carried down stream. The shadow of the tree was impenetrable to the ""little men,"" and a bright star shed."
accepted,Internet Archive,repository_full_text,B,spirit in Australian Legends,Australian Legends; C. W. Peck,1925,2026-06-22,https://archive.org/download/australian-legends/australian-legends_djvu.txt,https://archive.org/download/australian-legends/australian-legends_djvu.txt,sprint-internet-archive-peck:australian-legends:spirit:1daaeba365c540bf,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian legend collection; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"he chief. He was determined to find his wife, and he was no less determined to punish the man. Therefore, next day he chose one of his sons to act in his place, and he set out to succeed or die. For many days he travelled, and luckily he headed down the stream. Now and then he came across tracks that he felt sure were theirs. One day he bethought him of the spirits, so he kept a good lookout in order not to miss any signs of the clay with which to draw the marks of the mysticism. Also he killed a white wallaby and plucked off all its fur. When he found the clay he drew the lines on his chest and body and legs, and by sticking the."
accepted,Internet Archive,repository_full_text,B,spirit in Australian Legends,Australian Legends; C. W. Peck,1925,2026-06-22,https://archive.org/download/australian-legends/australian-legends_djvu.txt,https://archive.org/download/australian-legends/australian-legends_djvu.txt,sprint-internet-archive-peck:australian-legends:spirit:fd8c923acadffb60,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian legend collection; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"day he bethought him of the spirits, so he kept a good lookout in order not to miss any signs of the clay with which to draw the marks of the mysticism. Also he killed a white wallaby and plucked off all its fur. When he found the clay he drew the lines on his chest and body and legs, and by sticking the white fur in the clay he was in the proper dress. The Spirit came to him, and during the night he found out what lay before him. He had to follow the creek until it joined the river. Then he had to follow the river until it joined the great sheet of water. That sheet was either the sea or a very great lake. How far from the head."
accepted,Internet Archive,repository_full_text,B,spirit in Australian Legends,Australian Legends; C. W. Peck,1925,2026-06-22,https://archive.org/download/australian-legends/australian-legends_djvu.txt,https://archive.org/download/australian-legends/australian-legends_djvu.txt,sprint-internet-archive-peck:australian-legends:spirit:5f0485db6cf92dbb,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian legend collection; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"the river until it joined the great sheet of water. That sheet was either the sea or a very great lake. How far from the head waters of the Murrumbidgee the sheet of water lay we cannot guess, but from the manner in which the tale was told it seemed a very long way. It seemed to take longer than one man's life to get there. But the blacks believed that the Spirit prolonged the lives at least of the three so that the wrong might be righted and the sky might be lifted up. So the day came when the chief saw the two he was following. They were camped upon the edge of the lake. No bloodwood grew there, but in the ages before other."
accepted,Internet Archive,repository_full_text,B,spirit in Australian Legends,Australian Legends; C. W. Peck,1925,2026-06-22,https://archive.org/download/australian-legends/australian-legends_djvu.txt,https://archive.org/download/australian-legends/australian-legends_djvu.txt,sprint-internet-archive-peck:australian-legends:spirit:a9bdedddd00a1e00,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian legend collection; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"hape passed over. It had long legs that hung down and clawed. The claws were not far above the black man's head. It was distinctly an animal. He could see the body and the neck, the head, the ears and the eyes, but in a few minutes it was gone. Somewhere he seemed to know that it was food to eat. So he took heart. He really believed it was sent by the great spirit, for he was painted with the signs, and he was meat-hungry, and he was out, not on his own behalf, but searching for food for his people. So he lay down to sleep, believing that in the morning he would find meat. All night the wind blew. It was still blowing in the."
accepted,Internet Archive,repository_full_text,B,spirit in Australian Legends,Australian Legends; C. W. Peck,1925,2026-06-22,https://archive.org/download/australian-legends/australian-legends_djvu.txt,https://archive.org/download/australian-legends/australian-legends_djvu.txt,sprint-internet-archive-peck:australian-legends:spirit:c84ee2eaa3599337,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian legend collection; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"is coloured water for some days, and when it was removed not only was the fur dyed red, but the skin itself was changed. It was more serviceable. So ever afterwards those blacks soaked all their animal skins in a solution of this gum, and thus they tanned them. Everyone had seen the aerial wonder, and they believed their chief had been answered by the Great Spirit and the kangaroo was sent from over the seas to succour them. THE SECOND KANGAROO STORY Away in the Kowmung and around the rugged peaks under which lie the great lodes containing the silver of Yarranderie, roamed a tribe of blacks who have their own tale of the first."
accepted,Internet Archive,repository_full_text,B,spirit in Australian Legends,Australian Legends; C. W. Peck,1925,2026-06-22,https://archive.org/download/australian-legends/australian-legends_djvu.txt,https://archive.org/download/australian-legends/australian-legends_djvu.txt,sprint-internet-archive-peck:australian-legends:spirit:d7218295f7e38805,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian legend collection; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"ainted flesh was not so terrible a task as that of playing the grim game of hide and seek for life, in which she was obliged now to indulge continually. Had she not been one of the women who had learned secrets that were supposed only to be possessed by the men, she would never have dared to rebel. If things came to the worst she could invoke the aid of the spirit, and something would happen in her favour. She knew where the necessary clay was to be found. The only trouble was that she was unaware of the whereabouts of her people. However, she chanced everything, and scaling the precipitous side of the mount she saw the smoke from."
accepted,Internet Archive,repository_full_text,B,spirit in Australian Legends,Australian Legends; C. W. Peck,1925,2026-06-22,https://archive.org/download/australian-legends/australian-legends_djvu.txt,https://archive.org/download/australian-legends/australian-legends_djvu.txt,sprint-internet-archive-peck:australian-legends:spirit:75735b5c540d5146,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian legend collection; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"undoing. The smoke was observed by her husband. He had never ceased to watch and to search for her. With all his cunning he approached the little blue curling threads. The woman was by no means unmindful. Her ears were alert, and distinctly she detected the distant crack of the broken twig, and the rustle o' disturbed dead leaves. The woman called upon the spirit, beating her breasts the while. Between her and the stealthily creeping man was a tea- tree stump. The top had been torn out by a gale and lay dead on the ground. She crept to it, and straightening up she clasped her arms around it, beseeching the spirit at the same time."
accepted,Internet Archive,repository_full_text,B,spirit in Australian Legends,Australian Legends; C. W. Peck,1925,2026-06-22,https://archive.org/download/australian-legends/australian-legends_djvu.txt,https://archive.org/download/australian-legends/australian-legends_djvu.txt,sprint-internet-archive-peck:australian-legends:spirit:33d7feb9e5966f1d,public_text_item,public_access_text_available,spirit_person_narrative,source_grounded_section_record,Public-domain Australian legend collection; accepted rows require substantive supernatural/person-form narrative or discourse evidence.,explicit_supernatural_or_anomalous_person_form_agent,spirit,Australia,cultural_association_region,,,region,,,,source_url_external_id_and_excerpt_hash_checked,B,public_context_reviewed,moderate,accepted,,"the distant crack of the broken twig, and the rustle o' disturbed dead leaves. The woman called upon the spirit, beating her breasts the while. Between her and the stealthily creeping man was a tea- tree stump. The top had been torn out by a gale and lay dead on the ground. She crept to it, and straightening up she clasped her arms around it, beseeching the spirit at the same time to protect and guide her. The tea-tree stump became animated. It pulsed with life. It had almost parted from its roots before, for it was long since the branched top had been wrenched from it. The man saw it quite plainly. It was only a tea-tree stump.."
