status,skip_reason,record_id,figure,term,state_code,year,title,url
inserted,,715,Mimih,Mimih,NT,2007,Indigenous Spirit and Ghost Folklore of “Settled” Australia,https://doi.org/10.1080/00155870701337346
inserted,,716,Quinkan,Quinkan,QLD,1995,"Quinkan prehistory : the archaeology of aboriginal art in S.E. Cape York Peninsula, Australia",http://ci.nii.ac.jp/ncid/BA62554377
inserted,,717,Quinkan,Quinkan,QLD,1995,"Quinkan Prehistory: The Archaeology of Aboriginal Art in S.E. Cape York Peninsula, Australia by M.J. Morwood & D.R. Hobbs (eds)",https://www.library.uq.edu.au/ojs/index.php/aa/article/download/1102/1098
inserted,,718,Quinkan,Quinkan,QLD,2023,"Glass beads in a Dillybag: a cached assemblage from a rockshelter in Quinkan Country, Cape York Peninsula, Queensland, Australia",https://doi.org/10.1080/00438243.2024.2425275
inserted,,719,Quinkan,Quinkan,QLD,2024,"CATEGORISING CATFISH, JEWFISH AND EEL MOTIFS IN LAURA (QUINKAN) ROCK ART, CAPE YORK PENINSULA, AUSTRALIA",http://dx.doi.org/10.56801/rar.v41i1.271
inserted,,720,Quinkan,Quinkan,QLD,2008,"A new species of velvet gecko (Diplodactylidae: Oedura) from north-east Queensland, Australia",https://doi.org/10.11646/zootaxa.1788.1.2
inserted,,721,Quinkan,Quinkan,QLD,2003,Dublin Core: the base for an Indigenous culture environment?,https://openalex.org/W319165098
inserted,,722,Quinkan,Quinkan,QLD,2021,"New bee species from northern Queensland, Australia (Hymenoptera: Colletidae, Halictidae, Megachilidae)",https://doi.org/10.1111/aen.12572
inserted,,723,Quinkan,Quinkan,QLD,2019,"Indigenous Rock Art Tourism in Australia: Contexts, Trajectories, and Multifaceted Realities",https://doi.org/10.3390/arts8040162
inserted,,724,Quinkan,Quinkan,QLD,1979,"Two New Species of Skinks, Genus Ctenotus (Reptilia Lacertilia, Scincidae), from Cape York Peninsula, Queensland, Australia",https://doi.org/10.2307/1563319
inserted,,725,Quinkan,Quinkan,QLD,1995,"Quinkan Prehistory: The Archaeology of Aboriginal Art in S.E. Cape York Peninsula, Australia [Book Review]",http://search.informit.com.au/fullText;dn=600914304690970;res=IELHSS
