query_id,query_string,date_start,date_end,source_name,expected_noise_level,manual_search_url,notes
1,"""Yowie""",1803,1841,Trove Newspapers and Gazettes,medium,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yowie%22,Retrospective Trove backsearch window; generated from alias Yowie.
2,"""Yowie""",1803,1841,Trove Magazines and Newsletters,medium,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yowie%22,Retrospective Trove backsearch window; generated from alias Yowie.
3,"""Yowie""",1842,1875,Trove Newspapers and Gazettes,medium,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yowie%22,Early anchor period; generated from alias Yowie.
4,"""Yowie""",1842,1875,Trove Magazines and Newsletters,medium,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yowie%22,Early anchor period; generated from alias Yowie.
5,"""Yowie""",1876,1969,Trove Newspapers and Gazettes,medium,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yowie%22,Pre-modern newspaper and publication expansion; generated from alias Yowie.
6,"""Yowie""",1876,1969,Trove Magazines and Newsletters,medium,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yowie%22,Pre-modern newspaper and publication expansion; generated from alias Yowie.
11,"""Yowie""",1970,present,Trove Magazines and Newsletters,medium,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yowie%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Yowie."
12,"""Yowie""",1970,present,Trove Newspapers and Gazettes,medium,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Yowie%22,"Modern Yowie, heritage, tourism, and media period; generated from alias Yowie."
13,"""Australian gorilla""",1803,1841,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Australian+gorilla%22,Retrospective Trove backsearch window; generated from alias Australian gorilla.
14,"""Australian gorilla""",1803,1841,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Australian+gorilla%22,Retrospective Trove backsearch window; generated from alias Australian gorilla.
15,"""Australian gorilla""",1842,1875,Trove Newspapers and Gazettes,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Australian+gorilla%22,Early anchor period; generated from alias Australian gorilla.
16,"""Australian gorilla""",1842,1875,Trove Magazines and Newsletters,low,https://trove.nla.gov.au/search/category/newspapers?keyword=%22Australian+gorilla%22,Early anchor period; generated from alias Australian gorilla.
