population_kind,frontend_join_key,record_id,narrative_unit_id,legacy_map_id,location_id,source_name,source_file,title,year,lat,lng,state,source_url,source_stated_place_text,location_role,coordinate_precision,geocode_confidence,review_status,notes
canonical_frontend_public_map_row,"record_coord:853:-28.863204,153.082310",853,,,,Australian Yowie Research,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,1825 - Richmond River Herald 06-03-1825,1825,-28.8632035,153.0823096,NSW,https://www.yowiehunters.com.au/media-clips/2254-1825-richmond-river-herald-06-03-1825,"Richmond River, NSW",reported_place,locality,medium,verified_gazetteer_point,frontend map_points row
canonical_frontend_public_map_row,"record_coord:637:-33.869844,151.208285",637,,,,Australian Yowie Research,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,1843 - Sydney Morning Herald,1843,-33.8698439,151.2082848,NSW,https://www.yowiehunters.com.au/historical-articles/1894-1843-sydney-morning-herald,"Sydney, NSW",reported_place,locality,medium,verified_gazetteer_point,frontend map_points row
canonical_frontend_public_map_row,"record_coord:638:-33.869844,151.208285",638,,,,Australian Yowie Research,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,1843 - Sydney Morning Herald 2,1843,-33.8698439,151.2082848,NSW,https://www.yowiehunters.com.au/historical-articles/1933-1843-sydney-morning-herald-2,"Sydney, NSW",reported_place,locality,medium,verified_gazetteer_point,frontend map_points row
canonical_frontend_public_map_row,"record_coord:640:-38.149325,144.359824",640,,,,Australian Yowie Research,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,1847 - Geelong Advertiser,1847,-38.1493248,144.3598241,VIC,https://www.yowiehunters.com.au/historical-articles/1645-geelong-advertiser-1847,"Geelong, VIC",reported_place,locality,medium,verified_gazetteer_point,frontend map_points row
canonical_frontend_public_map_row,"record_coord:641:-33.869844,151.208285",641,,,,Australian Yowie Research,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,1847 - Sydney Morning Herald Article,1847,-33.8698439,151.2082848,NSW,https://www.yowiehunters.com.au/historical-articles/1488-sydney-morning-herald-article-1847,"Sydney, NSW",reported_place,locality,medium,verified_gazetteer_point,frontend map_points row
canonical_frontend_public_map_row,"record_coord:44:-38.507178,145.188810",44,,,,Australian Yowie Research,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"Phillip Island, Victoria 1849",1849,-38.507178,145.1888103,VIC,https://www.yowiehunters.com.au/victoria/1259-phillip-island-vic-1849,"Phillip Island, VIC",reported_place,locality,high,verified_gazetteer_point,frontend map_points row
canonical_frontend_public_map_row,"record_coord:2116:-31.931984,115.919054",2116,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"spirit in How did the Natives of Australia become Acquainted with the Demigods and Daemonia, and with the Superstitions of the Ancient Races?",1854,-31.9319845,115.9190544,WA,https://archive.org/download/jstor-3014132/3014132_djvu.txt,"Swan River, WA",narrative_setting,named_feature,high,verified_gazetteer_point,frontend map_points row
canonical_frontend_public_map_row,"record_coord:855:-37.814245,144.963173",855,,,,Australian Yowie Research,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,1861 - The Argus Yowie Article,1861,-37.8142454,144.9631732,VIC,https://www.yowiehunters.com.au/media-clips/1774-1861-the-argus-yowie-article,"Melbourne, VIC",reported_place,locality,medium,verified_gazetteer_point,frontend map_points row
canonical_frontend_public_map_row,"record_coord:1760:-27.239782,153.253999",1760,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"spirit in Queensland, Australia",1861,-27.2397819,153.2539994,QLD,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt,"Moreton Bay, QLD",narrative_setting,named_feature,high,verified_gazetteer_point,frontend map_points row
canonical_frontend_public_map_row,"record_coord:1768:-27.239782,153.253999",1768,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"supernatural in Queensland, Australia",1861,-27.2397819,153.2539994,QLD,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt,"Moreton Bay, QLD",narrative_setting,named_feature,high,verified_gazetteer_point,frontend map_points row
canonical_frontend_public_map_row,"record_coord:1769:-27.239782,153.253999",1769,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"devil in Queensland, Australia",1861,-27.2397819,153.2539994,QLD,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt,"Moreton Bay, QLD",narrative_setting,named_feature,high,verified_gazetteer_point,frontend map_points row
canonical_frontend_public_map_row,"record_coord:1778:-27.239782,153.253999",1778,,,,Internet Archive,/Users/jarlgiovanni/Desktop/bigfoot_research/public/data/frontend-data.json,"giant in Queensland, Australia",1861,-27.2397819,153.2539994,QLD,https://archive.org/download/queenslandaustr00langgoog/queenslandaustr00langgoog_djvu.txt,"Moreton Bay, QLD",narrative_setting,named_feature,high,verified_gazetteer_point,frontend map_points row
