record_id,narrative_unit_id,candidate_id,existing_source_name,existing_source_url,inferred_discovery_source_name,inferred_access_source_name,inferred_original_source_name,inferred_evidence_source_name,inferred_evidence_source_tier,source_chain_score,machine_bucket,hard_fail_reasons,machine_recommendation,machine_confidence,reviewer_decision,reviewer_notes
1,1,,English Wikipedia,https://en.wikipedia.org/wiki/Yowie,Wikipedia,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
2,2,,English Wikipedia,https://en.wikipedia.org/wiki/Yara-ma-yha-who,Wikipedia,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
3,3,,English Wikipedia,https://en.wikipedia.org/wiki/Wandjina,Wikipedia,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
4,,,English Wikipedia,https://en.wikipedia.org/wiki/Bunyip,Wikipedia,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
5,,,English Wikipedia,https://en.wikipedia.org/wiki/Drop_bear,Wikipedia,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
6,4,,ABC News,https://www.abc.net.au/news/2018-04-21/kilcoy-yowie-tourism-queensland/9675596,,,,ABC News,,50,AMBER_UNKNOWN_SOURCE,unknown_source_tier,AMBER_UNKNOWN_SOURCE,0.70,,
13,5,,English Wikipedia,https://en.wikipedia.org/wiki/Nargun,Wikipedia,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
14,6,,Australian Yowie Research,https://www.yowiehunters.com.au/western-australia/1135-kalamundra-1983,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
15,7,,Australian Yowie Research,https://www.yowiehunters.com.au/western-australia/1812-australind-western-australia-1991,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
16,8,,Australian Yowie Research,https://www.yowiehunters.com.au/western-australia/2016-exmouth-western-australia-1993,Australian Yowie Research,,,,E,0,RED_DISCOVERY_ONLY_LEAKAGE,missing_evidence_source_name;discovery_only_as_evidence,RED_DISCOVERY_ONLY_LEAKAGE,0.95,,
