sample_id,source_population,lead_id,lead_type,constraint_blocker,source_family,route_family,priority_bucket,lead_score,source_name,source_tier,target_state,inferred_year,temporal_signal_present,term_signal_present,place_signal_present,url_domain,duplicate_status,sample_stratum,redaction_note,source_chain_complete,original_source_identifiable,evidence_source_adequate,date_available,term_available,source_stated_place_available,ethics_sensitive,record_eligible,map_eligible,reason_not_eligible,reviewer_notes
audit_001,target_gap_leads,tgl_c088e16c0c943cab625204b9,ROBOTS_BLOCKED_NEAR_MISS,robots_unknown,ATOM_AtoM,museum_heritage_page,BLOCKED_ROBOTS,85.0,Western Australian Museum,A,WA,1930,1,0,0,museum.wa.gov.au,duplicate,robots_unknown / ATOM_AtoM,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_002,target_gap_leads,tgl_33759bce07c470b5b7d1ed0f,METADATA_ONLY_1955_1976_LEAD,missing_term,state_archive_catalogue,state_archive_catalogue,PRIORITY_LEAD,100.0,Queensland State Archives ArchivesSearch,A,ACT,1959,1,0,1,archivessearch.qld.gov.au,unchecked,missing_term / state_archive_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_003,target_gap_leads,tgl_8af6033bb4fdd4537d99280a,STRUCTURED_ENDPOINT_ROUTE_LEAD,missing_date,OAI_PMH,council_local_studies,GOOD_LEAD,70.0,Fremantle History Centre,B,WA,,0,0,0,fremantle.wa.gov.au,unique,missing_date / OAI_PMH,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_004,target_gap_leads,tgl_575d9d59a114bcf5c36de203,METADATA_ONLY_1955_1976_LEAD,missing_date,controlled_supernatural,local_history_serial,PRIORITY_LEAD,80.0,Historical Society of the Northern Territory,B,NT,,0,0,1,historicalsocietynt.org.au,unique,missing_date / controlled_supernatural,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_005,target_gap_leads,tgl_12eb6ef87e92d063545bac8d,METADATA_ONLY_1955_1976_LEAD,missing_term,national_library_catalogue,national_library_catalogue,PRIORITY_LEAD,100.0,NLA Catalogue,A,WA,1958,1,0,1,catalogue.nla.gov.au,unchecked,missing_term / national_library_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_006,target_gap_leads,tgl_2c2678cc0ede743c42e07ae7,METADATA_ONLY_1955_1976_LEAD,strict_record_gate_not_met,museum_heritage_page,museum_heritage_page,PRIORITY_LEAD,100.0,Museum and Art Gallery of the Northern Territory,A,NT,1956,1,1,1,magnt.net.au,unchecked,strict_record_gate_not_met / museum_heritage_page,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_007,target_gap_leads,tgl_5825d55bab4fd88cff710c17,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,state_library_catalogue,state_library_catalogue,PRIORITY_LEAD,100.0,State Library Victoria Digitised Collections,A,NT,1928,1,1,1,find.slv.vic.gov.au,unchecked,missing_item_url / state_library_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_008,target_gap_leads,tgl_0adf3271349affd389fc78f7,METADATA_ONLY_1955_1976_LEAD,missing_term,museum_heritage_page,museum_heritage_page,PRIORITY_LEAD,100.0,Adelaide Gaol,B,SA,1958,1,0,1,adelaidegaol.org.au,unchecked,missing_term / museum_heritage_page,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_009,target_gap_leads,tgl_0acd701c76ed55aeaa08e9ea,METADATA_ONLY_1955_1976_LEAD,missing_term,heritage_register,heritage_register,PRIORITY_LEAD,100.0,National Capital Authority Heritage,B,ACT,1964,1,0,1,nca.gov.au,unchecked,missing_term / heritage_register,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
audit_010,target_gap_leads,tgl_660b76bdb7da77e71c6ce594,SOURCE_ATLAS_ROUTE_LEAD,missing_item_url,state_archive_catalogue,state_archive_catalogue,PRIORITY_LEAD,100.0,ArchivesACT,A,ACT,1938,1,1,1,archives.act.gov.au,unchecked,missing_item_url / state_archive_catalogue,metadata_only_no_snippet_no_description_no_raw_text_sensitive_rows_excluded,,,,,,,,,,,
